dialog_act,utterance,predicted_dialogact
thankyou,thank you good bye,thankyou
request,and whats their phone number,request
thankyou,thank you good bye,thankyou
inform,canapes food,inform
reqalts,uh is there any restaurant that serves indian food,inform
thankyou,thank you good bye,thankyou
request,address,inform
thankyou,thank you good bye,thankyou
inform,french,inform
,now,negate
inform,dont care,inform
request,phone number,inform
inform,im looking for spanish food,inform
reqalts,i dont want that give me another spanish choice,deny
request,thats fine give me the address,inform
inform,im looking for a restaurant in any area that,inform
inform,gastropub,inform
thankyou,thank you good bye,thankyou
inform,south,inform
inform,south,inform
inform,expensive,inform
inform,i want a restaurant that serves basque food,inform
inform,uh i want a restaurant that serves international food,inform
affirm,yes,affirm
inform,do you have prezzo,inform
inform,i dont care,inform
bye,bye,inform
inform,international food,inform
,noise,negate
inform,im looking for a restaurant in the east part of town,inform
request,phone number,inform
inform,turkish,inform
inform,north,negate
inform,dont care,inform
request,type of food,inform
thankyou,thank you good bye,thankyou
request,address,inform
inform,french,inform
inform,dont care,inform
affirm,yes,affirm
inform,italian,inform
,unintelligible,inform
inform,the south,inform
,unintelligible,inform
request,whats the address and phone number,request
request,whats the phone number,request
inform,i am looking for a moderately priced restaurant in the south,inform
thankyou,thank you good bye,thankyou
inform,doesnt matter,inform
inform,can i have asian food,inform
negate,no,negate
thankyou,thank you good bye,thankyou
inform,im looking for a moderately priced restaurant in the west part,inform
request,great whats the address and phone number,request
reqalts,how about indian food,reqalts
reqalts,how about indian food,reqalts
inform,i dont care,inform
inform,international food,inform
request,address,inform
inform,doesnt matter,inform
inform,vietnamese food,inform
negate,no,negate
thankyou,thank you,thankyou
thankyou,thank you bye,thankyou
,sil,inform
affirm,yes,affirm
inform,swiss food,inform
,sil,inform
request,phone number,inform
request,and their address,inform
request,phone number,inform
inform,i would like a moderately priced restaurant,inform
inform,doesnt matter,inform
request,what is the phone number,request
,system,inform
reqalts,how about vietnamese food,reqalts
inform,indian,inform
inform,i want indonesian food,inform
affirm,yes,affirm
inform,i dont care,inform
confirm,is it chinese food though,confirm
inform,i want chinese food,hello
inform,i dont care,inform
request,type of food,inform
inform,south,inform
inform,south,inform
inform,chinese food,hello
inform,moderate,inform
inform,can i have an expensive restaurant,inform
request,what is the address and phone number,request
inform,i dont care about the price range,inform
thankyou,thank you,thankyou
hello,hi i am looking for a moderately priced restaurant in the east part of town,hello
thankyou,thank you good bye,thankyou
reqalts,what about chinese food,hello
thankyou,thank you goodbye,thankyou
request,whats the phone number and post code,request
inform,north american,negate
affirm,yes,affirm
inform,north american food,negate
inform,north american restaurant expensive,negate
request,whats the price range,request
thankyou,thank you good bye,thankyou
request,can i have the address phone number and post code,inform
inform,i dont care,inform
reqalts,um how about italian food,reqalts
inform,north,negate
request,what is their address and phone number,request
inform,any,inform
request,post code,inform
inform,i would like an expensive restaurant in the south part of town,inform
request,can i have the address,inform
thankyou,thank you good bye,thankyou
inform,im looking for a restaurant in the east part of town that serves traditional food,inform
reqalts,how about chinese food,hello
inform,i want to find a moderately priced restaurant in the east part of town,inform
affirm,yes,affirm
request,what the address,request
,modern europene,inform
inform,moderately priced restaurant in the west part of town,inform
inform,dont care,inform
request,what is the address and phone number,request
reqalts,is there anything else,hello
inform,east,inform
inform,dont care,inform
inform,catalan food,inform
inform,danish food,inform
request,address,inform
inform,east part,inform
request,and the address,inform
inform,yea im looking for some spanish food,affirm
thankyou,thank you good bye,thankyou
inform,it doesnt matter,inform
inform,looking for a restaurant in the center part of town,inform
inform,mexican food,inform
inform,i need an expensive restaurant in the east part of town,inform
thankyou,thank you good bye,thankyou
inform,type food,inform
request,whats the address,request
request,phone number,inform
inform,id like to find an expensive restaurant in the east side of town,inform
inform,im looking for a moderately priced restaurant,inform
reqalts,is there anything else,hello
inform,the south part of town,inform
inform,are there any turkish restaurants,inform
inform,turkish,inform
inform,something moderately priced,hello
affirm,yes,affirm
inform,find asian oriental,inform
request,what is the address and phone number,request
inform,i do not care,deny
thankyou,thank you good bye,thankyou
inform,im looking for a cheap restaurant in the west part of town,inform
request,can i have an address,inform
request,what type of food is that,request
,can i get a,inform
thankyou,thank you good bye,thankyou
thankyou,thank you good bye,thankyou
reqalts,how about indian food,reqalts
request,whats the address,request
thankyou,thank you good bye,thankyou
inform,i want cuban food,inform
request,price,inform
reqalts,is there anything else,hello
inform,what about in the center of town,request
thankyou,thank you goodbye,thankyou
inform,it doesnt matter,inform
inform,im looking for chinese food,hello
affirm,yes,affirm
thankyou,thank you good bye,thankyou
request,may i have the address,inform
request,phone number and post code,inform
request,phone number,inform
inform,i dont care,inform
request,whats the address,request
inform,south,inform
inform,south part of town,inform
inform,restaurant in the south part of town,inform
inform,portuguese,inform
reqalts,is there a different cheap restaurant in the west part of town,inform
inform,expensive,inform
inform,anything,hello
request,and what type of food is it,confirm
request,address,inform
thankyou,thank you good bye,thankyou
negate,noise no,negate
inform,noise i dont care about the price range,negate
request,noise may i have its address,negate
inform,dont care,inform
inform,cheap restaurant,inform
inform,is there mediterranean food,inform
inform,i want mediterranean food,inform
inform,unusual food,inform
affirm,ok yeah,affirm
thankyou,thank you good bye,thankyou
request,address,inform
request,phone number,inform
,sil,inform
inform,any,inform
thankyou,thank you good bye,thankyou
affirm,yes,affirm
inform,vietnamese,inform
request,whats the address,request
inform,seafood,inform
affirm,yes,affirm
inform,east,inform
inform,east,inform
inform,any,inform
inform,spanish,inform
bye,okay cool thank you good bye,ack
request,could i have the address phone number and post code,request
thankyou,thank you good bye,thankyou
inform,im looking for a cheap restaurant in the south part of town,inform
request,whats the address,request
request,can i have the address and phone number please,inform
thankyou,thank you good bye,thankyou
request,phone number and price range,inform
request,phone number,inform
,unintelligible,inform
request,price range,inform
request,may i get the phone number,inform
request,and post code,inform
hello,hi im looking for a restaurant in the east art of town,hello
affirm,yes,affirm
inform,any area,inform
inform,turkish food,inform
inform,part of town that serves asian food,inform
thankyou,thank you good bye,thankyou
inform,im looking for indian food,inform
inform,it doesnt matter,inform
request,address and type of food,inform
inform,any food,inform
thankyou,thank you good bye,thankyou
inform,australian,inform
inform,is there an expensive restaurant that serves french,inform
reqalts,how about french food,reqalts
inform,vietnamese food,inform
thankyou,thank you good bye,thankyou
inform,i want an expensive restaurant in the south part of town,inform
request,what is the post code,request
request,whats the address,request
request,and what type of food,request
inform,cantonese,inform
request,phone number and pri,inform
request,phone number,inform
reqalts,how about north american food,negate
inform,north american,negate
inform,indonesian,inform
reqalts,how about chinese food,hello
inform,any area,inform
reqalts,what about spanish food,request
request,whats the signature dish,request
thankyou,thank you good bye,thankyou
inform,a restaurant that serves scandinavian food,inform
inform,how bout thai,inform
inform,how bout thai food,inform
inform,dont care,inform
inform,spanish food,inform
thankyou,thank you good bye,thankyou
inform,im looking for a turkish restaurant,inform
inform,it doesnt matter,inform
inform,i dont care,inform
confirm,does it serve swedish serve,confirm
reqalts,how about asian food,reqalts
reqalts,how about asian oriental,reqalts
thankyou,thank you good bye,thankyou
inform,moderately priced vanessa restaurant,inform
inform,gastropub,inform
thankyou,thank you good bye,thankyou
inform,i want a cheap restaurant in the north part of town,negate
request,whats the phone number,request
inform,in the east part of the town,inform
thankyou,okay thank you good bye,ack
request,can i have the address phone number and the type of food,inform
request,can i have the type of food,inform
thankyou,thank you good bye,thankyou
inform,creative food,inform
request,whats the address,request
thankyou,thank you good bye,thankyou
inform,cheap restaurant,inform
inform,west,inform
inform,west,inform
inform,south part of town,inform
request,phone number,inform
inform,noise taquita restaurant,negate
request,type of food,inform
request,phone number and address,inform
confirm,do they have turkish food,confirm
bye,alright thank you good bye,thankyou
,noise,negate
request,the address,inform
request,whats their address,request
inform,chinese food,hello
inform,im looking for a restaurant in the east part of town,inform
request,what is the phone number,request
thankyou,thank you good bye,thankyou
inform,it doesnt matter,inform
affirm,yes,affirm
inform,i dont care,inform
inform,moderately priced restaurant in the north part of town,negate
reqalts,what about center area,request
inform,im looking for a european restaurant in center area,inform
thankyou,thank you good bye,thankyou
affirm,yes,affirm
thankyou,thank you good bye,thankyou
inform,doesnt matter,inform
inform,it doesnt matter,inform
request,what kind of food do they have,confirm
affirm,yes,affirm
inform,im looking for a cheap restaurant that serves chinese food,hello
thankyou,thank you good bye,thankyou
inform,ok talian food,inform
inform,catalen food,inform
inform,i am looking for catalin food,inform
affirm,yes,affirm
request,whats its address,request
inform,a cheap,inform
inform,asian oriental,inform
thankyou,okay uh thank you and good bye,ack
inform,west,inform
request,phone number,inform
,noise,negate
bye,good bye,bye
inform,turkish food,inform
request,could i have the address and price range please,request
inform,any area,inform
inform,expensive,inform
inform,thai food,inform
negate,no thai food,negate
affirm,yes im looking for english food,affirm
request,phone number,inform
inform,dont care,inform
reqalts,how about itailian,reqalts
inform,moderate,inform
request,address,inform
thankyou,thank you good bye,thankyou
inform,uh dont care,inform
inform,um anything else,hello
request,telephone number,inform
thankyou,thank you good bye,thankyou
inform,it does not matter,deny
inform,i do not care,deny
inform,romanian food,inform
request,and the phone number,inform
request,whats the phone number,request
inform,i dont care,inform
reqalts,anything else,hello
inform,gastropub type food noise,negate
inform,gastropub,inform
inform,i dont care,inform
request,whats the post code noise,negate
thankyou,thank you goodbye,thankyou
inform,moderately priced spanish restaurant,inform
thankyou,thank you good bye,thankyou
inform,austrian food,inform
inform,chinese food,hello
inform,the south part of town,inform
inform,dont care,inform
thankyou,thank you good bye,thankyou
request,what is you gardens phone number,request
request,what is its post code,confirm
inform,an expensive restaurant serving cantonese food,inform
inform,creative,inform
inform,european,inform
request,post code,inform
request,what is the phone number,request
inform,west,inform
request,what is the address and phone number,request
request,the address,inform
inform,i do not care,deny
inform,im looking for a moderately priced restaurant in the east part of town,inform
reqalts,how about french food,reqalts
thankyou,thank you goodbye,thankyou
inform,uh id like a moderately priced restaurant in the north part,negate
thankyou,thank you good bye,thankyou
inform,i dont care,inform
request,what is the phone number,request
thankyou,thank you good bye,thankyou
thankyou,thank you goodbye,thankyou
,unintelligible,inform
inform,international food,inform
bye,alright thank you good bye,thankyou
thankyou,thank you good bye,thankyou
negate,no,negate
negate,no,negate
request,what type of food is it,confirm
request,whats the phone number,request
,unintelligible,inform
affirm,yes,affirm
reqalts,how about an expensive restaurant,reqalts
inform,im looking for an expensive restaurant in a,inform
inform,the center of town,inform
thankyou,thank you good bye,thankyou
thankyou,thank you good bye,thankyou
,noise,negate
thankyou,thank you good bye,thankyou
reqalts,anything else,hello
request,phone number,inform
thankyou,thank you good bye,thankyou
inform,portugese,inform
request,whats the phone number,request
inform,im looking for a restaurant in the east part of town that serves c,inform
inform,canapes,inform
reqalts,uh are there any restaurants serving chinese,hello
reqalts,anything else,hello
inform,expensive restaurant east part of town,inform
inform,any,inform
inform,i want a moderately priced restaurant in the east,inform
reqalts,is there anything else,hello
thankyou,thank you good bye,thankyou
request,post code,inform
inform,expensive,inform
thankyou,thank you good bye,thankyou
inform,south part of town,inform
thankyou,thank you good bye,thankyou
inform,moderate,inform
affirm,yes spanish food,affirm
inform,any,inform
inform,east part of town,inform
inform,caribbean food,inform
thankyou,thank you good bye,thankyou
inform,i dont care,inform
inform,polish food,inform
inform,im looking for a moderately priced restaurant that serves turkish food,inform
thankyou,thank you good bye,thankyou
request,address and phone number,inform
inform,moderate,inform
request,whats the phone number,request
inform,i dont care,inform
inform,south,inform
inform,south,inform
thankyou,thank you good bye,thankyou
inform,east,inform
request,what is the address,request
inform,i want an expensive restaurant,inform
request,does it serve,confirm
reqalts,what about portuguese food,request
inform,anything,hello
inform,south part of town,inform
request,give me address and phone number,inform
affirm,yes,affirm
,noise,negate
reqalts,how about russian food,reqalts
reqalts,how about russian food,reqalts
inform,it doesnt matter,inform
request,what is the phone number,request
affirm,yes,affirm
inform,any area,inform
inform,i want a cheap restaurant in the south part of town,inform
inform,it doesnt matter,inform
inform,east,inform
request,phone number,inform
inform,south,inform
inform,south,inform
inform,vietnamese,inform
,noise,negate
reqalts,anything else,hello
inform,dont care,inform
inform,any thing,hello
affirm,yes,affirm
reqalts,are there any other restaurants,inform
inform,italian food,inform
thankyou,thank you good bye,thankyou
inform,catalan,inform
deny,wrong,deny
thankyou,thank you good bye,thankyou
request,whats the address,request
negate,no,negate
inform,im looking for a moderately price restaurant that serves halo food,inform
reqalts,what about european food,request
request,give me the address,inform
inform,catalan food,inform
request,what is the address,request
request,whats the phone number,request
inform,in the east,inform
request,and the phone number,inform
thankyou,thank you good bye,thankyou
request,what is the address,request
inform,unusual food,inform
request,whats the phone number,request
request,whats the address,request
thankyou,thank you good bye,thankyou
negate,no,negate
inform,i dont care,inform
inform,i want lebanese food,inform
thankyou,thank you good bye,thankyou
inform,im looking for an ex,inform
inform,any price range,inform
request,what is the phone number,request
inform,any type of food,inform
thankyou,thank you good bye,thankyou
inform,dont care,inform
thankyou,thank you good bye,thankyou
inform,italian food,inform
inform,south,inform
inform,south,inform
affirm,right,inform
,unintelligible,inform
thankyou,thank you good bye,thankyou
inform,moderately priced restaurant in the west part of town,inform
inform,italian,inform
inform,uh cheap restaurant malaysian food,inform
inform,unintelligible food,inform
inform,bistro food,inform
inform,im looking for an expensive restaurant that serves swiss food,inform
inform,dont care,inform
thankyou,thank you good bye,thankyou
inform,chinese food,hello
,unintelligible,inform
,unintelligible,inform
,unintelligible,inform
request,and the type of food,inform
request,whats the address,request
reqalts,what about portuguese food,request
inform,french food,inform
request,whats their phone number,request
request,can i get the address,inform
inform,im looking for an expensive restaurant in the south part of town,inform
thankyou,thank you good bye,thankyou
affirm,yes,affirm
inform,im looking for a restaurant in the east part of town,inform
reqalts,anything else,hello
,okay,ack
bye,okay thank you and good bye,ack
reqalts,what about gastropub,request
affirm,yes,affirm
inform,any anything else,hello
thankyou,thank you good bye,thankyou
inform,gastropub food,inform
inform,gastropub,inform
request,what type of food do they serve,confirm
inform,i dont care,inform
request,type of food,inform
inform,gastropub food,inform
thankyou,thank you good bye,thankyou
,ad,inform
affirm,yes,affirm
request,phone number,inform
request,what area is it in,confirm
request,phone number,inform
,noise,negate
inform,im looking for an expensive restaurant in the south part of tow,inform
thankyou,thank you goodbye,thankyou
request,address,inform
inform,in the east part of town,inform
affirm,yes,affirm
request,what is the address,request
inform,air tran,inform
reqalts,how about chinese restaurants,hello
request,can i have the phone number and price range,inform
,noise,negate
inform,scandinavian,inform
inform,moderate,inform
request,what is the address and phone number,request
request,can i have the address and price range,inform
inform,indian food,inform
inform,im looking for a moderately priced restaurant in the south part of town,inform
request,what is the address,request
,unintelligible,inform
thankyou,thank you good bye,thankyou
inform,restaurant in the south part of town,inform
inform,i dont care,inform
,can i,inform
request,can i have the address,inform
request,can i have the phone number,inform
confirm,is it in the west part of town,confirm
inform,spanish,inform
inform,spanish,inform
thankyou,thank you good bye,thankyou
inform,any,inform
request,whats the address,request
thankyou,thank you good bye,thankyou
inform,food,inform
request,type of food,inform
inform,food,inform
inform,im looking for korean food,inform
request,whats its post code,request
request,whats the phone number,request
reqalts,is there anything else,hello
inform,i need a moderately priced restaurant in the north part,negate
inform,welsh food in the north part of town,negate
request,phone number,inform
reqalts,how about a castro pub,reqalts
request,may i have the address please,inform
request,what is the area of this venue,hello
inform,doesnt matter,inform
inform,dont care,inform
inform,west part of town,inform
thankyou,thank thank,inform
thankyou,thank you good bye,thankyou
inform,uh thai food,inform
inform,expensive,inform
request,and uh their post code,inform
reqalts,is there a restaurant in the south part of town that serves italian food,inform
request,can i have the phone number and post code,inform
inform,i dont care,inform
thankyou,thank you good bye,thankyou
request,what is the address,request
thankyou,thank you good bye,thankyou
inform,are there any serves asian oriental,inform
inform,pan asian food,inform
inform,west,inform
inform,italian food,inform
inform,i dont care,inform
thankyou,thank you good bye,thankyou
request,the address,inform
request,type of food,inform
,unintelligible,inform
inform,korean,inform
thankyou,thank you good bye,thankyou
,unintelligible,inform
affirm,yes,affirm
request,what is the phone number,request
inform,west part of town,inform
inform,find me a restaurant in the north part of town,negate
inform,i dont care,inform
reqalts,is there anything else,hello
inform,expensive,inform
reqalts,how about indian food,reqalts
request,phone number please,inform
thankyou,thank you good bye,thankyou
inform,id like an expensive italian restaurant,inform
negate,no,negate
negate,no,negate
inform,any area,inform
bye,good bye,bye
request,may i get the address and phone number,inform
inform,any area expensive price range,inform
request,what is the golden woks address,request
affirm,yes,affirm
affirm,yes,affirm
inform,alright gastropub food,inform
request,what area,request
request,post code,inform
thankyou,thank you good bye,thankyou
inform,that serves jamaican food,inform
inform,in the south part of town,inform
thankyou,thank you good bye,thankyou
thankyou,thank you good bye,thankyou
inform,im looking for seafood,inform
inform,east,inform
thankyou,thank you good bye,thankyou
request,address,inform
thankyou,thank you good bye,thankyou
request,okay may i have the address,ack
thankyou,thank you good bye,thankyou
request,what type of food,request
inform,uh expensive european food,inform
inform,middle,inform
inform,south of town,inform
inform,expensive european food,inform
request,and the area,inform
reqalts,what about australian asian food,request
request,whats the addre,request
negate,no,negate
inform,chinese food,hello
inform,im looking for a restaurant it should serve vietnamese food,inform
inform,chinese food,hello
inform,expensive,inform
bye,good bye,bye
inform,any kind of food,inform
request,address,inform
request,whats the phone number,request
inform,vietnamese food,inform
request,phone number,inform
inform,any price range,inform
inform,i dont care,inform
inform,in the east,inform
,sil,inform
inform,vietnamese,inform
,kish,inform
inform,turkish restaurant,inform
thankyou,thank you good bye,thankyou
inform,im looking for a expensive restaurant serving irish food,inform
inform,center,inform
request,post code,inform
inform,dont care,inform
thankyou,thank you good bye,thankyou
bye,good bye,bye
bye,good bye,bye
inform,i need a restaurant that serves african food,inform
request,i need the address phone number and post code,inform
,unintelligible,inform
,unintelligible,inform
inform,south,inform
inform,american,inform
inform,moderate restaurant south part of town,inform
inform,im looking for a cheap restaurant that serves irish food,inform
thankyou,thank you goodbye,thankyou
inform,any type of food,inform
inform,christmas food,inform
inform,alright i want a restaurant in any,inform
request,the address and phone number,inform
reqalts,is there a restaurant serving thai food,inform
inform,i want thai food,inform
affirm,yes,affirm
request,and the phone number,inform
reqalts,how about mediterranean,inform
request,and the phone number,inform
thankyou,thank you good bye,thankyou
,sil,inform
request,can i have the address,inform
inform,iam looking,inform
,unintelligible,inform
inform,iam looking for a restaurant that serves bistro food,inform
reqalts,how about portuguese food,reqalts
reqalts,how about portuguese food,reqalts
request,phone number,inform
thankyou,thank you good bye,thankyou
inform,looking for an expensive restaurant that,inform
reqalts,how about korean food,reqalts
reqalts,how about korean food,reqalts
bye,okay good bye,ack
inform,im looking for an expensive restaurant,inform
inform,austro food,inform
thankyou,thank you good bye,thankyou
inform,thai food,inform
inform,indonesian food,inform
inform,indonesian,inform
inform,any is okay,ack
request,the price range,inform
inform,i dont care,inform
reqalts,anything else,hello
reqalts,is there anything else,hello
thankyou,thank you good bye,thankyou
affirm,yes,affirm
negate,no,negate
affirm,yes,affirm
negate,no lebanese food,negate
thankyou,thank you good bye,thankyou
inform,i need a cheap restaurant in the south part of town,inform
request,whats the address,request
thankyou,thank you good bye,thankyou
inform,iam looking for a restaurant in any area that serves swiss food,inform
,how about,reqalts
inform,looking for corsica food in an expensive restaurant,inform
request,how about the phone number,reqalts
inform,cheap,inform
reqalts,how about chinese food,hello
affirm,yes,affirm
confirm,is it moderately,confirm
request,offer you the phone number and address,inform
inform,cheap restaurant,inform
request,address,inform
inform,im looking for french food,inform
request,whats the address,request
inform,it should serve caribbean food,inform
request,and whats the address,request
request,phone number,inform
thankyou,thank you good bye,thankyou
