dialog_act,utterance,prediction
inform,cheap restaurant north part of town,inform
inform,moderately priced restaurant japanese food,inform
thankyou,thank you good bye,thankyou
request,phone number,request
thankyou,thank you good bye,thankyou
thankyou,thank you,thankyou
affirm,yes,affirm
request,address,request
reqalts,how about british food,reqalts
inform,id like a restaurant in the south part of town that serves cuban,inform
request,could i have the phone number,request
inform,i would like vietnamese food,inform
thankyou,thank you good bye,thankyou
request,what is the address,request
thankyou,thank you good bye,thankyou
inform,any area,inform
request,whats the phone number,request
inform,okay looking for a cheap restaurant serving caribbean food,inform
inform,it doesnt matter,inform
thankyou,thank you good bye,thankyou
thankyou,thank you goodbye,thankyou
inform,dont care,inform
inform,im looking for a restaurant in the west part of town that serves caribbean,inform
reqalts,how about indian food,reqalts
no dialog,ad,no dialog
inform,south,inform
thankyou,thank you goodbye,thankyou
request,phone number,request
thankyou,thank you good bye,thankyou
inform,what about mediterranean food,inform
affirm,yes,affirm
inform,german food,inform
request,may i have the address and phone number,request
thankyou,thank you good bye,thankyou
request,can i get the address,request
thankyou,thank you good bye,thankyou
request,and the post code,request
thankyou,thank you good bye,thankyou
inform,any,inform
affirm,yes,affirm
inform,south,inform
request,can i have the phone number,request
inform,food,inform
inform,seafood,inform
request,price range,request
thankyou,thank you goodbye,thankyou
no dialog,what,no dialog
affirm,yes,affirm
request,kay can i get their phone number please,request
thankyou,okay ah i think thatll do it thank you and goodbye,thankyou
inform,i dont care,inform
thankyou,thank you good bye,thankyou
affirm,ah yes can i get a restaurant that serves french food,affirm
affirm,ah yes that serves french food,affirm
ack,kay,ack
ack,kay,ack
inform,any type of food,inform
inform,any food,inform
request,can i have the post code,request
request,phone number,request
thankyou,thank you good bye,thankyou
inform,looking for an expensive restaurant that serves,inform
reqalts,uh what about chinese food,reqalts
request,can i get the phone number,request
no dialog,sil,no dialog
thankyou,thank you good bye,thankyou
request,what is the address,request
request,what is the area,request
reqalts,how about asian oriental,reqalts
request,i need the address and phone number,request
request,whats the address,request
inform,expensive,inform
request,whats the phone number,request
thankyou,thank you good bye,thankyou
bye,good bye,bye
inform,doesnt matter,inform
request,what type of food,request
inform,do you have any asian oriental food,inform
request,whats the phone number,request
request,what area,request
inform,north,inform
request,what area of town,request
request,can i have the address and phone number please,request
inform,restaurant,inform
reqalts,how about indian food,reqalts
inform,italian food,inform
inform,any,inform
affirm,yes,affirm
request,phone number,request
request,phone number,request
thankyou,thank you goodbye,thankyou
inform,im looking for a restaurant that serves african food,inform
request,can i have the address,request
inform,i need an expensive restaurant that serves afghan food,inform
inform,need a restaurant serving brazilian food,inform
inform,doesnt matter,inform
reqalts,how about turkish,reqalts
reqalts,anything else,reqalts
inform,um i dont care about the price,inform
request,what price range,request
request,phone number,request
thankyou,thank you good bye,thankyou
thankyou,thank you good bye,thankyou
inform,i want a cheap hungarian food restaurant,inform
request,what is the address,request
inform,gastropub,inform
inform,i dont care about the price range,inform
inform,im looking for a moderately priced restaurant that serves canapes,inform
inform,korean food,inform
request,where are they located,inform
inform,are there any that serves portuguese food,inform
inform,are there any that serves portuguese food,inform
affirm,yes,affirm
affirm,yes do you have one with chinese,affirm
thankyou,thank you good bye,thankyou
request,kay and ah where is it located,request
thankyou,okay thank you and goodbye,thankyou
inform,dont care,inform
negate,no the north,negate
thankyou,thank you,thankyou
inform,i need a cheap restaurant in the west part of town,inform
inform,turkish food,inform
reqalts,what about any area,reqalts
no dialog,i need,no dialog
inform,i need a place that serves spanish food,inform
request,the address,request
request,phone number,request
request,what is the address,request
thankyou,thank you good bye,thankyou
inform,i dont care,inform
thankyou,thank you good bye,thankyou
request,phone number,request
inform,doesnt matter,inform
inform,i would like it to be cheap,inform
inform,turkish,inform
thankyou,thank you good bye,thankyou
bye,good bye,bye
inform,expensive mexican,inform
request,phone number,request
thankyou,thank you good bye,thankyou
inform,dont care,inform
reqalts,anything else gastropub,reqalts
inform,persian,inform
request,expensive price restaurant,inform
hello,hello im looking for a cheap,hello
inform,i dont care,inform
no dialog,serve,no dialog
thankyou,thank you good bye,thankyou
inform,i need a moderately priced restaurant serving world food,inform
request,what is the phone number,request
request,can i have the address,request
request,can i have the phone number,request
inform,looking for an expensive restaurant in the east of town,inform
affirm,ah yes,affirm
negate,no portuguese,negate
request,okay and ah can i get their phone number please,request
thankyou,thank you good bye,thankyou
request,what part of town,request
inform,french food,inform
reqalts,is there anything else,reqalts
affirm,yes,affirm
request,what kind of food does it serve,request
inform,im looking for a moderately,inform
request,what is a phone number,request
thankyou,thank you good bye,thankyou
inform,serving catalan food,inform
request,address phone number price range,request
request,price range,request
request,may i have the address and phone number,request
inform,south,inform
reqalts,anything else,reqalts
thankyou,thank you good bye,thankyou
inform,malaysian,inform
inform,moderately,inform
inform,moderate,inform
request,can i get the address and phone number,request
inform,expensive restaurant,inform
inform,portuguese,inform
negate,no,negate
request,address,request
inform,anything,inform
inform,cheap,inform
request,what is the phone number,request
inform,dont care,inform
thankyou,thank you good bye,thankyou
request,what kind of food,request
request,what area of town,request
thankyou,thank you good bye,thankyou
inform,i dont care,inform
inform,portuguese food,inform
request,phone number,request
thankyou,thank you good bye,thankyou
request,and whats their phone number,request
thankyou,thank you good bye,thankyou
inform,canapes food,inform
reqalts,uh is there any restaurant that serves indian food,reqalts
thankyou,thank you good bye,thankyou
request,address,request
thankyou,thank you good bye,thankyou
inform,french,inform
no dialog,now,no dialog
inform,dont care,inform
request,phone number,request
inform,im looking for spanish food,inform
reqalts,i dont want that give me another spanish choice,reqalts
request,thats fine give me the address,request
inform,im looking for a restaurant in any area that,inform
inform,gastropub,inform
thankyou,thank you good bye,thankyou
inform,south,inform
inform,south,inform
inform,expensive,inform
inform,i want a restaurant that serves basque food,inform
inform,uh i want a restaurant that serves international food,inform
affirm,yes,affirm
inform,do you have prezzo,inform
inform,i dont care,inform
bye,bye,bye
inform,international food,inform
no dialog,noise,no dialog
inform,im looking for a restaurant in the east part of town,inform
request,phone number,request
inform,turkish,inform
inform,north,inform
inform,dont care,inform
request,type of food,request
thankyou,thank you good bye,thankyou
request,address,request
inform,french,inform
inform,dont care,inform
affirm,yes,affirm
inform,italian,inform
no dialog,unintelligible,no dialog
inform,the south,inform
no dialog,unintelligible,no dialog
request,whats the address and phone number,request
request,whats the phone number,request
inform,i am looking for a moderately priced restaurant in the south,inform
thankyou,thank you good bye,thankyou
inform,doesnt matter,inform
inform,can i have asian food,inform
negate,no,negate
thankyou,thank you good bye,thankyou
inform,im looking for a moderately priced restaurant in the west part,inform
request,great whats the address and phone number,request
reqalts,how about indian food,reqalts
reqalts,how about indian food,reqalts
inform,i dont care,inform
inform,international food,inform
request,address,request
inform,doesnt matter,inform
inform,vietnamese food,inform
negate,no,negate
thankyou,thank you,thankyou
thankyou,thank you bye,thankyou
no dialog,sil,no dialog
affirm,yes,affirm
inform,swiss food,inform
no dialog,sil,no dialog
request,phone number,request
request,and their address,request
request,phone number,request
inform,i would like a moderately priced restaurant,inform
inform,doesnt matter,inform
request,what is the phone number,request
no dialog,system,no dialog
reqalts,how about vietnamese food,reqalts
inform,indian,inform
inform,i want indonesian food,inform
affirm,yes,affirm
inform,i dont care,inform
confirm,is it chinese food though,confirm
inform,i want chinese food,inform
inform,i dont care,inform
request,type of food,request
inform,south,inform
inform,south,inform
inform,chinese food,inform
inform,moderate,inform
inform,can i have an expensive restaurant,inform
request,what is the address and phone number,request
inform,i dont care about the price range,inform
thankyou,thank you,thankyou
hello,hi i am looking for a moderately priced restaurant in the east part of town,hello
thankyou,thank you good bye,thankyou
reqalts,what about chinese food,reqalts
thankyou,thank you goodbye,thankyou
request,whats the phone number and post code,request
inform,north american,inform
affirm,yes,affirm
inform,north american food,inform
inform,north american restaurant expensive,inform
request,whats the price range,request
thankyou,thank you good bye,thankyou
request,can i have the address phone number and post code,request
inform,i dont care,inform
reqalts,um how about italian food,reqalts
inform,north,inform
request,what is their address and phone number,request
inform,any,inform
request,post code,request
inform,i would like an expensive restaurant in the south part of town,inform
request,can i have the address,request
thankyou,thank you good bye,thankyou
inform,im looking for a restaurant in the east part of town that serves traditional food,inform
reqalts,how about chinese food,reqalts
inform,i want to find a moderately priced restaurant in the east part of town,inform
affirm,yes,affirm
request,what the address,request
no dialog,modern europene,no dialog
inform,moderately priced restaurant in the west part of town,inform
inform,dont care,inform
request,what is the address and phone number,request
reqalts,is there anything else,reqalts
inform,east,inform
inform,dont care,inform
inform,catalan food,inform
inform,danish food,inform
request,address,request
inform,east part,inform
request,and the address,request
inform,yea im looking for some spanish food,inform
thankyou,thank you good bye,thankyou
inform,it doesnt matter,inform
inform,looking for a restaurant in the center part of town,inform
inform,mexican food,inform
inform,i need an expensive restaurant in the east part of town,inform
thankyou,thank you good bye,thankyou
inform,type food,inform
request,whats the address,request
request,phone number,request
inform,id like to find an expensive restaurant in the east side of town,inform
inform,im looking for a moderately priced restaurant,inform
reqalts,is there anything else,reqalts
inform,the south part of town,inform
inform,are there any turkish restaurants,reqalts
inform,turkish,inform
inform,something moderately priced,inform
affirm,yes,affirm
inform,find asian oriental,inform
request,what is the address and phone number,request
inform,i do not care,inform
thankyou,thank you good bye,thankyou
inform,im looking for a cheap restaurant in the west part of town,inform
request,can i have an address,request
request,what type of food is that,request
no dialog,can i get a,no dialog
thankyou,thank you good bye,thankyou
thankyou,thank you good bye,thankyou
reqalts,how about indian food,reqalts
request,whats the address,request
thankyou,thank you good bye,thankyou
inform,i want cuban food,inform
request,price,request
reqalts,is there anything else,reqalts
inform,what about in the center of town,inform
thankyou,thank you goodbye,thankyou
inform,it doesnt matter,inform
inform,im looking for chinese food,inform
affirm,yes,affirm
thankyou,thank you good bye,thankyou
request,may i have the address,request
request,phone number and post code,request
request,phone number,request
inform,i dont care,inform
request,whats the address,request
inform,south,inform
inform,south part of town,inform
inform,restaurant in the south part of town,inform
inform,portuguese,inform
reqalts,is there a different cheap restaurant in the west part of town,inform
inform,expensive,inform
inform,anything,inform
request,and what type of food is it,request
request,address,request
thankyou,thank you good bye,thankyou
negate,noise no,negate
inform,noise i dont care about the price range,inform
request,noise may i have its address,request
inform,dont care,inform
inform,cheap restaurant,inform
inform,is there mediterranean food,confirm
inform,i want mediterranean food,inform
inform,unusual food,inform
affirm,ok yeah,affirm
thankyou,thank you good bye,thankyou
request,address,request
request,phone number,request
no dialog,sil,no dialog
inform,any,inform
thankyou,thank you good bye,thankyou
affirm,yes,affirm
inform,vietnamese,inform
request,whats the address,request
inform,seafood,inform
affirm,yes,affirm
inform,east,inform
inform,east,inform
inform,any,inform
inform,spanish,inform
bye,okay cool thank you good bye,bye
request,could i have the address phone number and post code,request
thankyou,thank you good bye,thankyou
inform,im looking for a cheap restaurant in the south part of town,inform
request,whats the address,request
request,can i have the address and phone number please,request
thankyou,thank you good bye,thankyou
request,phone number and price range,request
request,phone number,request
no dialog,unintelligible,no dialog
request,price range,request
request,may i get the phone number,request
request,and post code,request
hello,hi im looking for a restaurant in the east art of town,hello
affirm,yes,affirm
inform,any area,inform
inform,turkish food,inform
inform,part of town that serves asian food,inform
thankyou,thank you good bye,thankyou
inform,im looking for indian food,inform
inform,it doesnt matter,inform
request,address and type of food,request
inform,any food,inform
thankyou,thank you good bye,thankyou
inform,australian,inform
inform,is there an expensive restaurant that serves french,inform
reqalts,how about french food,reqalts
inform,vietnamese food,inform
thankyou,thank you good bye,thankyou
inform,i want an expensive restaurant in the south part of town,inform
request,what is the post code,request
request,whats the address,request
request,and what type of food,request
inform,cantonese,inform
request,phone number and pri,request
request,phone number,request
reqalts,how about north american food,reqalts
inform,north american,inform
inform,indonesian,inform
reqalts,how about chinese food,reqalts
inform,any area,inform
reqalts,what about spanish food,reqalts
request,whats the signature dish,request
thankyou,thank you good bye,thankyou
inform,a restaurant that serves scandinavian food,inform
inform,how bout thai,inform
inform,how bout thai food,inform
inform,dont care,inform
inform,spanish food,inform
thankyou,thank you good bye,thankyou
inform,im looking for a turkish restaurant,inform
inform,it doesnt matter,inform
inform,i dont care,inform
confirm,does it serve swedish serve,confirm
reqalts,how about asian food,reqalts
reqalts,how about asian oriental,reqalts
thankyou,thank you good bye,thankyou
inform,moderately priced vanessa restaurant,inform
inform,gastropub,inform
thankyou,thank you good bye,thankyou
inform,i want a cheap restaurant in the north part of town,inform
request,whats the phone number,request
inform,in the east part of the town,inform
thankyou,okay thank you good bye,thankyou
request,can i have the address phone number and the type of food,request
request,can i have the type of food,inform
thankyou,thank you good bye,thankyou
inform,creative food,inform
request,whats the address,request
thankyou,thank you good bye,thankyou
inform,cheap restaurant,inform
inform,west,inform
inform,west,inform
inform,south part of town,inform
request,phone number,request
inform,noise taquita restaurant,inform
request,type of food,request
request,phone number and address,request
confirm,do they have turkish food,no dialog
bye,alright thank you good bye,bye
no dialog,noise,no dialog
request,the address,request
request,whats their address,request
inform,chinese food,inform
inform,im looking for a restaurant in the east part of town,inform
request,what is the phone number,request
thankyou,thank you good bye,thankyou
inform,it doesnt matter,inform
affirm,yes,affirm
inform,i dont care,inform
inform,moderately priced restaurant in the north part of town,inform
reqalts,what about center area,reqalts
inform,im looking for a european restaurant in center area,inform
thankyou,thank you good bye,thankyou
affirm,yes,affirm
thankyou,thank you good bye,thankyou
inform,doesnt matter,inform
inform,it doesnt matter,inform
request,what kind of food do they have,request
affirm,yes,affirm
inform,im looking for a cheap restaurant that serves chinese food,inform
thankyou,thank you good bye,thankyou
inform,ok talian food,inform
inform,catalen food,inform
inform,i am looking for catalin food,inform
affirm,yes,affirm
request,whats its address,request
inform,a cheap,inform
inform,asian oriental,inform
thankyou,okay uh thank you and good bye,thankyou
inform,west,inform
request,phone number,request
no dialog,noise,no dialog
bye,good bye,bye
inform,turkish food,inform
request,could i have the address and price range please,request
inform,any area,inform
inform,expensive,inform
inform,thai food,inform
negate,no thai food,negate
affirm,yes im looking for english food,affirm
request,phone number,request
inform,dont care,inform
reqalts,how about itailian,reqalts
inform,moderate,inform
request,address,request
thankyou,thank you good bye,thankyou
inform,uh dont care,inform
inform,um anything else,inform
request,telephone number,request
thankyou,thank you good bye,thankyou
inform,it does not matter,inform
inform,i do not care,inform
inform,romanian food,inform
request,and the phone number,request
request,whats the phone number,request
inform,i dont care,inform
reqalts,anything else,reqalts
inform,gastropub type food noise,inform
inform,gastropub,inform
inform,i dont care,inform
request,whats the post code noise,request
thankyou,thank you goodbye,thankyou
inform,moderately priced spanish restaurant,inform
thankyou,thank you good bye,thankyou
inform,austrian food,inform
inform,chinese food,inform
inform,the south part of town,inform
inform,dont care,inform
thankyou,thank you good bye,thankyou
request,what is you gardens phone number,request
request,what is its post code,request
inform,an expensive restaurant serving cantonese food,inform
inform,creative,inform
inform,european,inform
request,post code,request
request,what is the phone number,request
inform,west,inform
request,what is the address and phone number,request
request,the address,request
inform,i do not care,inform
inform,im looking for a moderately priced restaurant in the east part of town,inform
reqalts,how about french food,reqalts
thankyou,thank you goodbye,thankyou
inform,uh id like a moderately priced restaurant in the north part,inform
thankyou,thank you good bye,thankyou
inform,i dont care,inform
request,what is the phone number,request
thankyou,thank you good bye,thankyou
thankyou,thank you goodbye,thankyou
no dialog,unintelligible,no dialog
inform,international food,inform
bye,alright thank you good bye,bye
thankyou,thank you good bye,thankyou
negate,no,negate
negate,no,negate
request,what type of food is it,request
request,whats the phone number,request
no dialog,unintelligible,no dialog
affirm,yes,affirm
reqalts,how about an expensive restaurant,reqalts
inform,im looking for an expensive restaurant in a,inform
inform,the center of town,inform
thankyou,thank you good bye,thankyou
thankyou,thank you good bye,thankyou
no dialog,noise,no dialog
thankyou,thank you good bye,thankyou
reqalts,anything else,reqalts
request,phone number,request
thankyou,thank you good bye,thankyou
inform,portugese,inform
request,whats the phone number,request
inform,im looking for a restaurant in the east part of town that serves c,inform
inform,canapes,inform
reqalts,uh are there any restaurants serving chinese,reqalts
reqalts,anything else,reqalts
inform,expensive restaurant east part of town,inform
inform,any,inform
inform,i want a moderately priced restaurant in the east,inform
reqalts,is there anything else,reqalts
thankyou,thank you good bye,thankyou
request,post code,request
inform,expensive,inform
thankyou,thank you good bye,thankyou
inform,south part of town,inform
thankyou,thank you good bye,thankyou
inform,moderate,inform
affirm,yes spanish food,affirm
inform,any,inform
inform,east part of town,inform
inform,caribbean food,inform
thankyou,thank you good bye,thankyou
inform,i dont care,inform
inform,polish food,inform
inform,im looking for a moderately priced restaurant that serves turkish food,inform
thankyou,thank you good bye,thankyou
request,address and phone number,request
inform,moderate,inform
request,whats the phone number,request
inform,i dont care,inform
inform,south,inform
inform,south,inform
thankyou,thank you good bye,thankyou
inform,east,inform
request,what is the address,request
inform,i want an expensive restaurant,inform
request,does it serve,request
reqalts,what about portuguese food,reqalts
inform,anything,inform
inform,south part of town,inform
request,give me address and phone number,request
affirm,yes,affirm
no dialog,noise,no dialog
reqalts,how about russian food,reqalts
reqalts,how about russian food,reqalts
inform,it doesnt matter,inform
request,what is the phone number,request
affirm,yes,affirm
inform,any area,inform
inform,i want a cheap restaurant in the south part of town,inform
inform,it doesnt matter,inform
inform,east,inform
request,phone number,request
inform,south,inform
inform,south,inform
inform,vietnamese,inform
no dialog,noise,no dialog
reqalts,anything else,reqalts
inform,dont care,inform
inform,any thing,inform
affirm,yes,affirm
reqalts,are there any other restaurants,reqalts
inform,italian food,inform
thankyou,thank you good bye,thankyou
inform,catalan,inform
deny,wrong,deny
thankyou,thank you good bye,thankyou
request,whats the address,request
negate,no,negate
inform,im looking for a moderately price restaurant that serves halo food,inform
reqalts,what about european food,reqalts
request,give me the address,request
inform,catalan food,inform
request,what is the address,request
request,whats the phone number,request
inform,in the east,inform
request,and the phone number,request
thankyou,thank you good bye,thankyou
request,what is the address,request
inform,unusual food,inform
request,whats the phone number,request
request,whats the address,request
thankyou,thank you good bye,thankyou
negate,no,negate
inform,i dont care,inform
inform,i want lebanese food,inform
thankyou,thank you good bye,thankyou
inform,im looking for an ex,inform
inform,any price range,inform
request,what is the phone number,request
inform,any type of food,inform
thankyou,thank you good bye,thankyou
inform,dont care,inform
thankyou,thank you good bye,thankyou
inform,italian food,inform
inform,south,inform
inform,south,inform
affirm,right,affirm
no dialog,unintelligible,no dialog
thankyou,thank you good bye,thankyou
inform,moderately priced restaurant in the west part of town,inform
inform,italian,inform
inform,uh cheap restaurant malaysian food,inform
inform,unintelligible food,inform
inform,bistro food,inform
inform,im looking for an expensive restaurant that serves swiss food,inform
inform,dont care,inform
thankyou,thank you good bye,thankyou
inform,chinese food,inform
no dialog,unintelligible,no dialog
no dialog,unintelligible,no dialog
no dialog,unintelligible,no dialog
request,and the type of food,request
request,whats the address,request
reqalts,what about portuguese food,reqalts
inform,french food,inform
request,whats their phone number,request
request,can i get the address,request
inform,im looking for an expensive restaurant in the south part of town,inform
thankyou,thank you good bye,thankyou
affirm,yes,affirm
inform,im looking for a restaurant in the east part of town,inform
reqalts,anything else,reqalts
no dialog,okay,no dialog
bye,okay thank you and good bye,bye
reqalts,what about gastropub,reqalts
affirm,yes,affirm
inform,any anything else,no dialog
thankyou,thank you good bye,thankyou
inform,gastropub food,inform
inform,gastropub,inform
request,what type of food do they serve,request
inform,i dont care,inform
request,type of food,request
inform,gastropub food,inform
thankyou,thank you good bye,thankyou
no dialog,ad,no dialog
affirm,yes,affirm
request,phone number,request
request,what area is it in,request
request,phone number,request
no dialog,noise,no dialog
inform,im looking for an expensive restaurant in the south part of tow,inform
thankyou,thank you goodbye,thankyou
request,address,request
inform,in the east part of town,inform
affirm,yes,affirm
request,what is the address,request
inform,air tran,inform
reqalts,how about chinese restaurants,inform
request,can i have the phone number and price range,request
no dialog,noise,no dialog
inform,scandinavian,inform
inform,moderate,inform
request,what is the address and phone number,request
request,can i have the address and price range,request
inform,indian food,inform
inform,im looking for a moderately priced restaurant in the south part of town,inform
request,what is the address,request
no dialog,unintelligible,no dialog
thankyou,thank you good bye,thankyou
inform,restaurant in the south part of town,inform
inform,i dont care,inform
no dialog,can i,no dialog
request,can i have the address,request
request,can i have the phone number,request
confirm,is it in the west part of town,confirm
inform,spanish,inform
inform,spanish,inform
thankyou,thank you good bye,thankyou
inform,any,inform
request,whats the address,request
thankyou,thank you good bye,thankyou
inform,food,inform
request,type of food,request
inform,food,inform
inform,im looking for korean food,inform
request,whats its post code,request
request,whats the phone number,request
reqalts,is there anything else,reqalts
inform,i need a moderately priced restaurant in the north part,inform
inform,welsh food in the north part of town,inform
request,phone number,request
reqalts,how about a castro pub,reqalts
request,may i have the address please,request
request,what is the area of this venue,request
inform,doesnt matter,inform
inform,dont care,inform
inform,west part of town,inform
thankyou,thank thank,thankyou
thankyou,thank you good bye,thankyou
inform,uh thai food,inform
inform,expensive,inform
request,and uh their post code,request
reqalts,is there a restaurant in the south part of town that serves italian food,reqalts
request,can i have the phone number and post code,request
inform,i dont care,inform
thankyou,thank you good bye,thankyou
request,what is the address,request
thankyou,thank you good bye,thankyou
inform,are there any serves asian oriental,inform
inform,pan asian food,inform
inform,west,inform
inform,italian food,inform
inform,i dont care,inform
thankyou,thank you good bye,thankyou
request,the address,request
request,type of food,request
no dialog,unintelligible,no dialog
inform,korean,inform
thankyou,thank you good bye,thankyou
no dialog,unintelligible,no dialog
affirm,yes,affirm
request,what is the phone number,request
inform,west part of town,inform
inform,find me a restaurant in the north part of town,inform
inform,i dont care,inform
reqalts,is there anything else,reqalts
inform,expensive,inform
reqalts,how about indian food,reqalts
request,phone number please,request
thankyou,thank you good bye,thankyou
inform,id like an expensive italian restaurant,inform
negate,no,negate
negate,no,negate
inform,any area,inform
bye,good bye,bye
request,may i get the address and phone number,request
inform,any area expensive price range,inform
request,what is the golden woks address,request
affirm,yes,affirm
affirm,yes,affirm
inform,alright gastropub food,inform
request,what area,request
request,post code,request
thankyou,thank you good bye,thankyou
inform,that serves jamaican food,inform
inform,in the south part of town,inform
thankyou,thank you good bye,thankyou
thankyou,thank you good bye,thankyou
inform,im looking for seafood,inform
inform,east,inform
thankyou,thank you good bye,thankyou
request,address,request
thankyou,thank you good bye,thankyou
request,okay may i have the address,request
thankyou,thank you good bye,thankyou
request,what type of food,request
inform,uh expensive european food,inform
inform,middle,inform
inform,south of town,inform
inform,expensive european food,inform
request,and the area,request
reqalts,what about australian asian food,reqalts
request,whats the addre,request
negate,no,negate
inform,chinese food,inform
inform,im looking for a restaurant it should serve vietnamese food,inform
inform,chinese food,inform
inform,expensive,inform
bye,good bye,bye
inform,any kind of food,inform
request,address,request
request,whats the phone number,request
inform,vietnamese food,inform
request,phone number,request
inform,any price range,inform
inform,i dont care,inform
inform,in the east,inform
no dialog,sil,no dialog
inform,vietnamese,inform
no dialog,kish,no dialog
inform,turkish restaurant,inform
thankyou,thank you good bye,thankyou
inform,im looking for a expensive restaurant serving irish food,inform
inform,center,inform
request,post code,request
inform,dont care,inform
thankyou,thank you good bye,thankyou
bye,good bye,bye
bye,good bye,bye
inform,i need a restaurant that serves african food,inform
request,i need the address phone number and post code,request
no dialog,unintelligible,no dialog
no dialog,unintelligible,no dialog
inform,south,inform
inform,american,inform
inform,moderate restaurant south part of town,inform
inform,im looking for a cheap restaurant that serves irish food,inform
thankyou,thank you goodbye,thankyou
inform,any type of food,inform
inform,christmas food,inform
inform,alright i want a restaurant in any,inform
request,the address and phone number,request
reqalts,is there a restaurant serving thai food,reqalts
inform,i want thai food,inform
affirm,yes,affirm
request,and the phone number,request
reqalts,how about mediterranean,reqalts
request,and the phone number,request
thankyou,thank you good bye,thankyou
no dialog,sil,no dialog
request,can i have the address,request
inform,iam looking,inform
no dialog,unintelligible,no dialog
inform,iam looking for a restaurant that serves bistro food,inform
reqalts,how about portuguese food,reqalts
reqalts,how about portuguese food,reqalts
request,phone number,request
thankyou,thank you good bye,thankyou
inform,looking for an expensive restaurant that,inform
reqalts,how about korean food,reqalts
reqalts,how about korean food,reqalts
bye,okay good bye,bye
inform,im looking for an expensive restaurant,inform
inform,austro food,inform
thankyou,thank you good bye,thankyou
inform,thai food,inform
inform,indonesian food,inform
inform,indonesian,inform
inform,any is okay,inform
request,the price range,request
inform,i dont care,inform
reqalts,anything else,reqalts
reqalts,is there anything else,reqalts
thankyou,thank you good bye,thankyou
affirm,yes,affirm
negate,no,negate
affirm,yes,affirm
negate,no lebanese food,negate
thankyou,thank you good bye,thankyou
inform,i need a cheap restaurant in the south part of town,inform
request,whats the address,request
thankyou,thank you good bye,thankyou
