dialog_act,utterance
confirm,is it serving french food
inform,cuban food cheap restaurant
inform,expensive thai food
inform,any area cuban food
inform,canapes food
inform,looking for a moderately priced restaurant in the west part of town
inform,uh a restaurant in the south part of town
request,may i have the post code please
inform,um i dont care about the price
deny,i dont want vietnamese food
request,phone number tv_noise
inform,im looking for a restaurant in the west part of town
request,can i get the price range
inform,test food
inform,steak house
reqalts,what about earatree food
inform,unintelligible restaurant in the south part of town
inform,noise i want to find a restaurant that serve french food
affirm,yes can i have a moderate priced restaurant
affirm,uh yes that serves mediterranean food
affirm,yes cheap spanish restaurant
inform,im searching for a restaurant in the south part of town that serves
inform,i am looking for an expensive restaurant that serves swedish food
inform,moderately priced in the west
inform,greek restaurant north of town
inform,restaurant west part of town japanese food
inform,im looking for a moderately priced restaurant serving spanish food
inform,i am looking for a moderately priced restaurant in the south part of town
inform,west part of town moderately priced
request,could i get the phone number please
inform,gastropub type of food
reqalts,how about persian food
hello,hi noise
inform,uh dont care but can it be vegetarian food
thankyou,okay thank you and goodbye
inform,id like to find a restaurant
reqalts,how about indian food in the east part of town
inform,moderately restaurant
request,can i have the address and the postcode
inform,anywhere
inform,restaurant in the west part of town that serves cuban food
affirm,uh yes
negate,no id like
inform,expensive restaurant serves
inform,cuban
confirm,and is this a moderately priced restaurant
inform,in the east part of town
inform,restaurant north part of town seafood
inform,im looking for a restaurant in the center that serves bistro food
inform,i need something in the east part of town that serves
inform,romanian
inform,uh it doesnt matter
inform,i want to find a moderately priced restaurant that serves fusion food
inform,im looking for an expensive restaurant
confirm,does it serve international food
inform,i want a cheap restaurant that serves european food
null,do uh
inform,im looking for a cheap restaurant that serves canapes food
null,priced
inform,indian restaurant
negate,no im looking for pan asian food
inform,noise im looking for a moderately priced restaurant
inform,steakhouse
inform,im looking for a korean restaurant
affirm,yes im looking for english food
negate,no pan asian food
request,area of the venue
inform,im looking for belgian food
inform,i want an italian restaurant
inform,i need a restaurant in the west part of town that serves european food
reqalts,what about expensive
inform,i want a restaurant in the west part of town that serves australian food
null,fen ditton
inform,in the inner south
request,okay what was the name
inform,im looking for a restaurant in the south part of town serving chinese food
request,um what is the address and phone number
null,okay just regular ecuadorean food
inform,im looking for a cheap vietnamese restaurant
reqalts,how bout asian oriental type of food
inform,i would like indian food
inform,looking for spanish food in the center of town
inform,i would like a cheap restaurant in the south part of town
inform,what about expensive food
request,price
inform,vegetarian food
request,and what price range is that or nevermind
inform,i need a moderately priced restaurant that serves world food
reqalts,how about international type of food
inform,i would like an expensive restaurant in the east part of
inform,what about vietnamese
inform,crossover food
deny,i dont want chinese i want thai food
inform,im looking for a restaurant in the west part of town serving
inform,unintelligible irish food
inform,serve kosher food
request,can i please have their phone number
inform,um west side
inform,just chinese food in the north part of town
inform,looking for a restaurant in the center part of town
inform,singapore food
request,my i have the phone number
inform,looking for a japanese restaurant in the center
null,of the venue
inform,im looking for a restaurant in the east part of town that serves spanish food
request,what the phone number
inform,im looking for something in the west side
inform,are there any restaurants in the center of town
affirm,uh yes id like an expensive restaurant that serves vegetarian food
inform,um it doesnt matter
confirm,okay is there a chinese restaurant in the north part of town
inform,looking for a restaurant that serves portuguese food
inform,im looking for a restaurant in the west part of town that serves
inform,not chinese food thai food
inform,uh cheap restaurant
inform,im looking for a restaurant in the east part of town that serves world food
inform,i want to find a restaurant in the center
inform,any type
reqalts,how about caribbean food
inform,venue
inform,im looking for a moderate priced restaurant that serves indian food
inform,the west side
inform,id like a greek restaurant in the east part of town
reqalts,how about one that serves british food
inform,type food
inform,i want a moderate priced restaurant that serves indian food
null,child
null,pizza
inform,ah it doesnt matter
request,their phone number
reqalts,any more
negate,tv_noise no
inform,id like a restaurant that serves australian asian food
inform,noise im looking for a restaurant that serves scottish food
reqalts,okay how about an expensive
request,noise what was their address again please
inform,uh international food
inform,im looking for a cheap restaurant in the east part of town
request,and what area
request,okay the address
thankyou,okay um thank you good bye
affirm,yes i would like to know the address
inform,i need to know if there are any restaurants serving turkish food
inform,um surprise me
inform,food
inform,is their korean food
request,may i have the address and phone nymber
inform,im looking for a restaurant in the north part of town serving indian food
inform,catalan food north part of town
negate,not
request,can i get post code
inform,i want to find a restaurant in the north part of town that serves italian food
inform,looking for something cheap
inform,restaurant any area kosher food
reqalts,uh how about italian
reqalts,how about an expensive restaurant
thankyou,thats everything thank you
inform,a spanish restaurant in the center
inform,im looking for uh restaurant serving caribbean food
reqalts,how about vietnamese food
inform,im looking for an expensive restaurant that serves mediterranean food
request,okay what is the phone number
reqalts,um how about a restaurant in the center with int
inform,uh cheap restaurant in north part of town
negate,no south part of town
thankyou,okay uh thank you and goodbye
request,and uh their post code
reqalts,okay how about a venue with italian food
request,and whats the phone number for that
request,can i have the phone number and address
inform,id like a cantonese resturant in the south part of town
inform,any kind of food
request,can i have the address the phone number
request,can i have its phone number
inform,itailian
thankyou,great thank you good bye
null,okay what was the first one
negate,uh no thank you and good bye
inform,an expensive restaurant
request,and the price range
request,part of town the address and postal code please
reqalts,how bout the center part of town
confirm,is there a venue that serve vietnamese food
request,can i have the phone number and type of food please
request,can i have the type of food
inform,i want a restaurant
inform,i need to find a cheap restaurant
inform,danish food in the south part of town
inform,i am looking for a moderately priced restaurant that serves russian food
inform,i want a basque food restaurant
inform,irish food on the east part of town
inform,i am looking for a cheap restaurant and it should be in the west part of town
reqalts,um what about european
null,uh
inform,russian
inform,uh mediterranean food
inform,dont know
request,address and post code
request,what type of food does it have
request,can i have post code
inform,european type food
inform,im looking for asian oriental type food
inform,i want to find a turkish food
request,no price
request,can i get the address phone number and post code please
inform,i want african food
inform,tuscan food south part of town
inform,im looking for romanian food
request,and what area of town are they
inform,um north american food
reqalts,what about french
request,what is the address and area
null,croatia
request,what is the phone
inform,in the south
request,how about phone number
inform,okay um chinese then
inform,i want a british restaurant in the east part of town
inform,you know thai thai food
null,survey
request,could i have its phone number
inform,im looking for an expensive restaurant that serves danish food
inform,indian food in the west part of town
inform,expensive east part of town
inform,serving mexican food
inform,restaurant in the north part of town that serves
negate,no belgium
request,what is the pri what is the telephone number
thankyou,thank thank
confirm,is it moderate
inform,im looking for a chinese restaurant
reqalts,uh are there any restaurants serving chinese
null,okay uh what about the other
inform,im looking for japanese food
inform,kosher for in the central
inform,im looking for an expensive restaurant and it should serve unusual food
inform,im looking for portuguese food
null,holy cow
inform,i want a restaurant that serves portuguese food
request,oh whats the address
inform,yea im looking for a really cheap restaurant in the east part of town
inform,im looking for something moderate
inform,moderately priced any foo
inform,im looking for a russian food
inform,um anything else please
inform,noise im looking for a cheap restaurant in the south part of town
inform,im looking for a restaurant in the north part of town and it should serve indo
inform,looking for a restaurant in the center that serves
inform,um any type of food
inform,i am looking for an expensive restaurant serving kitalian food
request,part of town is it in
affirm,yes i am currently in the north part of town and im looking to see if theres any restaurant that serves brazilian food
null,and the one before
inform,any range
affirm,yeah im looking for food cheap restaurant
inform,australian food
reqalts,what about center area
inform,it doesnt matter dear
deny,no not indian scandinavian food
affirm,yes african food
inform,i want an expensive restaurant in the east part of town
inform,mediterranean restaurant
request,what is the post co
inform,um moderate
inform,can i have asian food
request,may i have their phone number please
inform,hungarian food in the center of town
inform,id like an expensive restaurant in the south part of town
inform,im looking for
inform,moderately priced restaurant that serves creative food
null,id like a
inform,im looking for a restaurant in the south of town serving chinese food
inform,christmas
inform,i want a jamaican food restaurant in the center part of town
inform,im looking for a restaurant in the south part of town serving portuguese
reqalts,what about vietnamese type of food
inform,swiss
inform,looking for moderately priced restaurant that serves creative food
reqalts,what about thai
inform,could i have a restaurant in the south part of town that serves unusual
request,i want to find the address
inform,i would like to find a cheap restaurant and it should be in the south
request,can i change the price range
reqalts,anything else gastropub
negate,no in the south
inform,scandanavian
inform,looking for a singaporean restaurant in the center
inform,im looking for an expensive restaurant and it should be in the south part of town
reqalts,how about italian food in the west part of town
inform,im looking for a cheap chinese restaurant
inform,a restaurant
reqalts,how about french
inform,im looking for a restaurant in the south
inform,looking for a restaurant in the west part of town
inform,can i get american food
inform,moderate priced restaurant in the north part of town
inform,im sorry i meant creative food
inform,im looking for a restaurant serving vegetarian food
ack,okay just pick one for me then
inform,i need to find a french restaurant
request,can i get their address
affirm,ah yes can i get ah expensive restaurant in the south part of town
reqalts,what about mediterranean
request,whats its price range
request,may i have the address phone number and post code
request,what type of food is that
inform,im looking for a restaurant that serves chinese food
inform,i want a restaurant in the center of town that serves vinesha
inform,im looking for a restaurant in the east part of town that serves hungarian food
inform,im looking for a cheap restaurant and it should be in the north part of town
inform,north part of town moderately priced
inform,im looking for a moderately priced restaurant serve hungarian food
confirm,is it in the south part
inform,any
inform,something in the north part of town serving chinese food
inform,im looking for a moderately priced restaurant in the south of town
null,is
null,care
inform,i need moderately priced restaurant that serves spanish
null,laugh you suck
reqalts,how about russian food
confirm,is it in the cheap price range
inform,i want a vietnamese restaurant
inform,i want a restaurant that serves british food
inform,im looking for a restaurant serving unusual food
inform,what asian oriental food
reqalts,what about international food
inform,a restaurant serving thai food
inform,are there any that serves portuguese food
inform,halal
inform,cheap unintelligible food
inform,caribbean food
reqalts,how about korean foo
inform,what about the other moderately priced restaurant in the south part
request,okay show me the address
null,left
inform,im looking for a restaurant in any area that servess
request,what is their address and phone number please
affirm,yes in the south of town
request,can i can i have the address and price
inform,uh north american food
inform,i need a restaurant in the north part of town that serves lebanese food
request,can i have the phone number address and price range
confirm,does it serve caribbean food
reqalts,how about cheap portuguese food
request,is it what price range
inform,medterranean
inform,i need a cheap restaurant serving eritrean food
inform,i need a persian restaurant in the south part of town
confirm,is there a moderately priced restaurant that serves british food
ack,okay and ah
inform,moderate priced restaurant that serves indian food
inform,um do not care
inform,find me an expensive persian restaurant
inform,the east
request,okay and uh how about the phone number
inform,id like it to be in the south part of town
inform,im looking for a cheap restaurant that serves welsh food
inform,im looking for a restaurant in the east part of town and it should serve
reqalts,okay how about modern european food
reqalts,what about indian then
inform,looking for something moderately priced in the south of town
inform,tv_noise any
inform,im looking for a japanese restaurant in the east part
request,what was the phone number for chiquito
inform,i am looking for persian food please
request,and whats its phone number
inform,are there any cantonese restaurants
inform,corsica food
inform,restaurant west
inform,restaurant
inform,i am looking for a moderate priced restaurant in the west of town
inform,im looking for a restaurant in the center that serves international
inform,could i find an expensive restaurant that serves european food please
affirm,yes in the cheap price range
bye,great thank you goodbye
request,okay whats their address
inform,im looking for a restaurant serving international food
inform,looking for a restaurant that serves spanish food
inform,doesnt matter i dont care
inform,im looking for meditteranian
null,tv_noise
inform,italian food
inform,can i get tuscan foo
inform,unintelligible food
negate,no im looking for a cheap price range in the east part of town
inform,uh id like a moderately priced restaurant in the north part
inform,gastro pub
null,i dont want pizza
inform,looking for a cheap restaurant in the east part of town
inform,i am looking for an expensive restaurant that serves australian food
reqalts,how about north american
request,address phone number prices
inform,cheap restaurant serving unintellgible food
inform,i want to find a restaurant in the south part of town that serves in
request,and whats the price range
affirm,yes im looking for an expensive restaurant and it should serve
inform,derately priced
null,suggestion
inform,im looking for a restaurant in the south part of town serving austrian food
inform,i need a cuban restaurant that is moderately priced
reqalts,how about one that serves asian oriental food
inform,i would like to find an expensive restaurant serving
inform,im looking for a cheap restaurant in the north
inform,im looking for a cheap restaurant in the north of
inform,i am looking for an expensive restaurant
hello,breath hi im looking for a danish food
inform,i want an italian restaurant in the center
inform,restaurant indian restaurant
inform,i need a restaurant in the west part of town that serves europ
affirm,yea im wondering if theres a steak house restaurant in the north part of
inform,in the south side
inform,id like a european food
inform,looking for mediterranean food uh west side of town
reqalts,how about european food
request,what area
inform,british food north part of town
inform,australasian food
inform,in the west part of town in the cheap price range
confirm,does it serve canapes
inform,i want to find a moderately priced restaurant that serves canapes food
inform,im looking for a restaurant in the north part of town serving in
inform,vietnamese food in any area
thankyou,goodbye thank you
inform,restaurant and it should be
deny,i dont want chinese
request,what is the addre
inform,cambridge vietnamese food
inform,im looking for a moderately priced restaurant in the south part of
reqalts,i dont want that one whats another one
inform,im looking for a restaurant in the center part of town that serves unusual food
request,and the post code please
inform,im looking for a restaurant serving polish food
inform,italian food in the center
request,can i have the address and phone
ack,thatll do dear whats the address of that venue
inform,im looking for a expensive restaurant serving mediterranean food
request,can i have the address and phone number of the venue
request,can i have the phone number and price range
request,okay and can i get the address
inform,im looking for a restaurant serving venetian food
inform,im looking for a restaurant in the east part of town that serves afghan food
inform,barbecue food
inform,im looking for a restaurant in any area that serves persian food
confirm,does it serve canapes food noise
request,perfect may i have the address
inform,i would like steakhouse food
request,phone number and type of food
hello,hi i;m
inform,expensive in the south
inform,north part of town austral asian food
confirm,is that portuguese
inform,can i have a moderately priced restaurant on this side of town
inform,restaurant in the west part of town that serves airitran food
inform,um expensive restaurant
request,price range
inform,um i dont care
inform,a restaurant in the center that serves leban
inform,good food
inform,im looking for an expensive restaurant in south part of town
confirm,is it serving portuguese food
inform,restaurant in west part of town
inform,austallison
inform,ok i would like to find a restaurant that serves italian food
inform,uh gastropub food
request,can i have their address please
request,what is the phone number and type of food
request,i need the address phone number and post code
inform,im looking for pollynasian food
request,okay can i get the address
inform,im looking for a cheap restaurant serving international food
reqalts,how about chinese
request,may i get the phone number
request,what type of food do they have
inform,airitran
inform,want a caribbean restaurant thats moderately priced
inform,i need jamaican food
inform,with malaysian food
null,what about unintelligible food restaurants
inform,im looking for a restaurant that serves japanese food
inform,id like a cheap restaurant in the west part of town
reqalts,anything else
inform,im looking for a restaurant that serves expensive food or expensive
ack,kay what is the addre
reqalts,okay and what about spanish
inform,italian food west part of town
thankyou,thank you
request,alright do you have the phone number for that one
null,laugh
inform,kosher
bye,thanks good bye
inform,south
inform,looking for a moderately priced restaurant that serves tuscan food
inform,expensive african food
inform,find restaurant
affirm,yes the address
inform,im looking for a restaurant in the
request,what is the phone number and area
thankyou,okay cool uh good bye thank you
reqalts,sure how about asian food
inform,a restaurant that serves scandinavian food
reqalts,how about europea
inform,id like to find a moderately priced restaurant in the west part of town
inform,christmas food
inform,im looking for an expensive restaurant serving asian oriental
request,what is um the address and phone number
inform,looking for a restaurant in the south part of town
affirm,in the center yes
inform,serves halal food
null,old
inform,i dont care what part of town
request,okay give me address
confirm,is that a cheap restaurant
thankyou,ok thanks goodbye
reqalts,okay how about asian oriental
deny,wrong
inform,any area any price
request,okay and price range
inform,that serves jamaican food
negate,uh no
null,static
inform,um i dont care i just want traditional food
inform,im looking for a restaurant in the center that serves sea food
affirm,yea i want indian food
inform,im looking for a restaurant serving
inform,hungarian
inform,im looking for a restaurant in any area that serves cantonese food
inform,next restaurant
request,uh whats the address and the phone number
inform,moderate
inform,not korean
inform,i want to find a restaurant in the west part of town that serves english food
inform,a restaurant in the south part of town
inform,food from thailand
request,uh what is the address
inform,im trying to find a moderately priced restaurant that serves swedish food
inform,im looking for something in the south part of town that serves creative
inform,hungarian food
request,and can i have the phone number
inform,can i have a british restaurant in the east please
inform,the west part
inform,tha thai
inform,what about a restaurant serving chinese food
inform,malaysian food malaysian
inform,im looking for a restaurant in the west part of town that serves canape food
request,address phone number post code
hello,hi im looking for
inform,im looking for a restaurant in the center of town serving jamaican food
request,kind i have the address
inform,looking for portuguese food in the south part of town
inform,breath im looking for a restaurant in the east part of tow
affirm,breath correct
reqalts,what about portugese
inform,im looking for a restaurant in the east part of town that serves australian
inform,expensive restaurants
inform,looking for a moderately priced restaurant
inform,the south side
reqalts,whats another one
reqalts,how about spanish types of food
null,i want to ind
inform,im looking for an expensive restaurant serving kitalian food
affirm,yea thank you good bye
inform,im looking for a moderately priced restaurant that serves tuscan food
request,i need the address phone number and price range
reqalts,what about asian oriental foo
inform,i got to find a cheap restaurant that serves mexican food
request,what part of town is it located
inform,id like a restaurant in any area that serves vegetarian food
inform,west side
hello,hi im looking for a restaurant
inform,singaporean food
hello,halo
inform,restaurant that serves korean food
inform,i would like to find a cheap restaurant in the west part of t
request,breath curry prince address
request,alright whats the address
request,and where is that located
inform,fancy restaurant moroccan food
inform,okay um well how bout portuguese
inform,uh east
reqalts,is there a restaurant in the west part of town that serves thai food
inform,what ever
inform,cheap price range
inform,i need lebanese food
thankyou,and thats all thank you and good bye
inform,i want to find a moderately priced restaurant that serves vietna
affirm,yes right
inform,if there is no such venue how about spanish type of food
reqalts,what about indian type of food
request,can i get the address phone number
inform,im looking for a cheap restaurant in the south
inform,in the center part of town
request,kay can i get their phone number please
inform,cough im looking for expensive danish food
affirm,yea in the west part of town
inform,im looking for a moderately priced restaurant that serves
inform,im looking for a moderately priced restaurant in the east part of
inform,cheap restaurant that serves vegetarian food
inform,im looking for a restaurant in any area that serves malaysian food
inform,i would like to find an expensive restaurant in the south part
inform,can i have a restaurant in the center with spanish food
inform,im looking for a restaurant in central it should serve japanese food
inform,in the north part o
inform,and okay and vietnamese food thank you
inform,catalan
request,phone number and address
inform,i want a restaurant in the north par
inform,okay then any
inform,id like a restaurant in the center that serves danish food
null,i would like a
inform,i want a moderately priced restaurant in the east part of town
inform,south of south of town
inform,can i get an expensive
null,system saying hello welcome
request,and what kind of food do they serve
inform,what about a spanish restuarant
null,type of foo
inform,indian type food
request,post number
reqalts,what about chinese food
inform,international food
inform,im looking for a restaurant that serves scandinavian food
inform,uh i want a restaurant that serves international food
affirm,yeah a cheap restaurant serving international food
request,what is the phone number and post code of the venue
inform,korean type food
null,i need the nor
confirm,do they serve turkish food
inform,doesnt matter but it should be moderately priced
request,could i have their phone number and the type of food
inform,is doesnt matter
reqalts,what is available
inform,tv_noise it doesnt matter
affirm,okay and they serve portuguese food correct
hello,hi i want to serve a cheap restaurant that serves traditional food
request,okay ah wha whats the address
inform,looking for a restaurant in the north part of town that serves swedish food
inform,eritrean food noise
inform,pan asian
thankyou,thanks goodbye
null,in the
inform,serving lebanese food
inform,can i get a restaurant in the west part of town
request,and whats the telephone number
reqalts,uh anything else
inform,a restaurant in the south part of town serving italian food
inform,im looking a cheap restaurant
inform,find a moderately priced restaurant that serves bask food
negate,no caribbean
null,noise
inform,im looking for a cheap restaurant serving mediterranean food
negate,no unintelligible
hello,hi i need a restaurant in any area
null,can you
inform,i would like an expensive restaurant
inform,high priced
inform,i am looking for a moderately priced restaurant that serves turkish food
inform,i am looking for a restaurant in the north part of town serving indian food
inform,im looking for a moderately priced restaurant serving basque food
inform,canopus
confirm,is it moderately
request,ok whats the phone number
confirm,is it serving vietnamese food
inform,im looking for a restaurant
inform,japanese food in the center of town
request,and can i have the address
inform,the centre
request,whats the address phone number and type of food
request,whats the address phone number and post code
inform,cheap restaurant gastropub food
request,could i have their phone number and address please
negate,no im looking for thai food
inform,expensive restaurant welsh food
inform,fast food
inform,it deosnt matter
null,unintelligent
request,what are the price ranges available
inform,tv_noise im looking for an expensive restaurant and it should serve tuscan food
inform,uh find a restaurant in the west part of town and
inform,british food in the west part of town
null,in appleton wiscon
inform,im looking for a restaurant in the center
inform,im looking for a restaurant that serves
inform,any part of town please
request,what is the address please
inform,could i have a restaurant that serves european food
inform,looking for a restaurant in the north part of town
request,okay could you give me the address
inform,im looking for a restaurant in the east part of town serving swiss food
inform,umh i dont care noise
request,ts the phone number
request,could i get the phone number and post code
null,id like
inform,im looking for a restaurant in the center that serves corsica
request,and what type of food is it
inform,serving asian oriental
hello,hi i would like a cheap restaurant in the north part of town
inform,catalen food
inform,id like a restaurant in any area that it serves canapes
null,on the rest and the
inform,i want to find a moderately priced restaurant that serves cuban food
reqalts,how about turkish type of food
reqalts,is there a restaurant
inform,moderate price
inform,iam looking
reqalts,is there a different cheap restaurant in the west part of town
request,postcode
inform,cheap portugeuse
inform,halo food
inform,uh the north
request,may i have the post code
hello,hello darling im looking for a restaurant in the north part of town
inform,restaurant in any area international food
inform,can i find a moderately priced restaurant
inform,im looking for a hungarian restaurant
request,whats the address of royal spice
inform,change that to a chinese restaurant
affirm,yes in the south part of town
inform,im looking for a portuguese restaurant
inform,any area expensive price range
inform,im looking for a cheap restaurant in the west part of town
confirm,is it in the center
request,the price range
confirm,is it moderate priced
request,and the telephone
inform,i need a restaurant in the west part of town that serves crossover food
inform,british food
inform,doesnt matter
request,what food does it serve
inform,uh i dont mind
inform,breath i want a cheap restaura
request,um can i get the address and phone number
null,id like to find
inform,i want a moderately priced restaurant in the south part of town
inform,im looking for a eritrean restaurant in the center of town
negate,no i want american food
request,what is the address and postcode
request,address and phone number
null,taiwanese
