dialog_act,utterance
inform,im looking for a restaurant in the cheap price range that serves asian oriental food
thankyou,thank you good bye
inform,dont care
reqalts,ok if there is no restaurant serving indonesian food how about a restaurant serving chinese food
thankyou,thank you good bye
inform,expensive restaurant
inform,doesnt matter
request,uh phone number
affirm,right
inform,cheap
inform,i would like gastropub
reqalts,how about chinese food
request,what is the price range
affirm,yes
inform,creative
thankyou,thank you good bye
thankyou,thank you good bye
null,what was
inform,european
inform,hungarian
inform,any
thankyou,thank you good bye
thankyou,thank you good bye
thankyou,thank you good bye
inform,south part of town
inform,east
inform,spanish food any area
request,phone number
reqalts,are there any barbecue restaurants
inform,irish food
thankyou,thank you good bye
inform,greek
reqalts,anything else
request,the address
reqalts,what about gasper gastropub type o
thankyou,thank you
request,what type of food does it serve
affirm,yes
request,what kind of food is that
inform,id like a portuguese restaurant
affirm,yes
inform,cheap
reqalts,how about mediterranean food
request,part of town
null,uh unintelligible
inform,im looking for a cheap restaurant that serves international
request,address
inform,im looking for a moderately priced restaurant
request,whats the phone number and address
thankyou,thank
request,can i have the address please
inform,are there any that serves mediterranean type food
inform,i dont care
request,type of food
thankyou,thank you good bye
inform,mediterranean food
request,whats the address
request,in the cheap price range
request,address
inform,im looking for a restaurant in the south part of town
null,system
inform,african
inform,portuguese food
inform,turkish
thankyou,thank you good bye
inform,im looking for british food
inform,i do not care
null,laughing
null,sil
request,what is the address and phone number
inform,im looking for cheap german food
inform,thai food
thankyou,thank you good bye
inform,south part of town
request,could i have the address phone number and
inform,im looking for a portuguese restaurant
inform,chinese food
negate,no there is no such venue how about portuguese food
thankyou,thank you good bye
thankyou,thank you good bye
request,address
inform,mexican food
thankyou,thank you good bye
inform,moderately priced restaurant south part of town
request,what is the phone number
bye,good bye
inform,any area
inform,what about a moderately priced re
inform,canapes
inform,moderate
request,expensive price range
affirm,yes
request,alright whats the phone number
inform,any kind of food
null,noise
request,and their phone number
confirm,does it serve asian oriental
inform,im looking for an expensive restaurant and it should serve international food
request,where is the restaurant
null,noise
inform,polynesian
request,what is the post code
thankyou,thank you goodbye
inform,expensive fish restaurant
inform,turkish food
inform,chinese
inform,breath i want to find a restaurant in the north part of town
inform,any food
inform,im looking for a restaurant in the center that serves turkish food
request,address
thankyou,thank you good bye
inform,looking for a cheap restaurant in the west part of town
thankyou,thank you good bye
reqalts,how about canapes
request,may i have the address and phone number
thankyou,thank you good bye
inform,any
inform,spanish food
inform,cheap
inform,north part of town
inform,north
reqalts,uh anything else
request,price range
inform,cheap
request,address and phone number please
inform,polynesian food
thankyou,thank you good bye
affirm,yes
request,the phone number
request,okay may i get the address
inform,the south part of town
bye,alright thank you good bye
request,post code
inform,barbecue
request,price range
reqalts,anything else
request,phone number
thankyou,thank you good bye
request,and whats the post code
thankyou,thank you good bye
inform,uh cheap restaurant in north part of town
inform,is there an expensive restaurant that serves korean food
confirm,does it serve cheap turkish food
inform,i do not care about the price range im just looking for a restaurant in the center that serves korean food
inform,any
thankyou,thank you good bye
request,what is the price range
request,phone number
inform,south
reqalts,is there anything else
thankyou,thank you good bye
inform,serve kosher food
inform,australian
inform,cheap
inform,european
inform,chinese
inform,ah what have you got for thai food
inform,north
request,whats the phone number
request,may i have the phone number and post code please
thankyou,thank you good bye
inform,i dont care
null,unintelligible
inform,chinese food
thankyou,thank you good bye
affirm,yes
inform,russian
thankyou,thank you good bye
affirm,yes
bye,okay thank you and good bye
inform,moderately priced
inform,im looking for a moderately priced restaurant in the north
negate,no thank you good bye
request,how about the phone number
thankyou,thank you good bye
request,whats the post code
thankyou,thank you goodbye
affirm,yes
request,the address
inform,i am looking for an expensive restaurant in the east
inform,any type
inform,korean food
null,noise
inform,i want a moderately priced restaurant in the north part of town
request,type of food
inform,expensive
thankyou,thank you good bye
reqalts,how about italian
inform,dont care
inform,any part of town
inform,canapes food
inform,gastropub
null,noise
inform,i want to find a restaurant in the east part of town that serves canapes foo
affirm,yes
inform,west
request,whats the phone number
inform,moderately priced restaurant
inform,swedish
request,can i have the address
inform,i want something in the south part of town
null,unintelligible
affirm,correct
thankyou,thank you goodbye
inform,chinese food north part of town
reqalts,how about asian oriental
request,and their address
null,than
request,phone number
affirm,yes
inform,noise any area
affirm,yes
request,whats the address
request,what type of food is it
thankyou,thank you good bye
inform,center
inform,moderately
reqalts,how about mediterranean food
inform,im looking for a moderately priced restaurant in the west part of town
thankyou,thank you good bye
inform,halo food
inform,asian
inform,i need a moderately priced restaurant
inform,dont care
request,what is the phone number
inform,im looking for a moderate priced restaurant in the south part of
inform,portuguese
reqalts,anything else
reqalts,is there anything else
inform,north
inform,i would like an expensive asian food restaurant
inform,any
inform,cheap
thankyou,thank you good bye
inform,south part of town
inform,im looking for a cheap restaurant serving modern european type of food
request,phone number
reqalts,how about asian food
request,phone number
request,address
request,type of food
inform,hold on im working hold on gastro pub
null,noise
inform,european food
inform,doesnt matter
thankyou,thank you good bye
confirm,is that asian oriental type of food
inform,cheap
request,and the phone number
inform,is there one that serves asian oriental food
request,phone number
inform,italian
request,phone number
inform,korean
inform,south
inform,french food
reqalts,how about portuguese
inform,i want a moderately priced restaurant that serves
inform,cheap restaurant
request,what is the post code
bye,good bye
thankyou,thank you good bye
request,whats the phone number
inform,im looking for a restaurant in the north part of town serving international food
inform,restaurant indian restaurant
thankyou,thank you good bye
inform,danish
inform,west
inform,in the west part
request,phone number
request,what area is it in
inform,im looking for a restaurant in the center part of town
request,what is the address
inform,malaysian food
request,phone number
inform,seafood
inform,italian food
thankyou,thank you
bye,good bye
inform,east
inform,afghan food
inform,south part of town
request,can i have the phone number and the address please
affirm,yes
request,address
inform,moderate
affirm,yes
inform,expensive restaurant east part of town
inform,expensive restaurant asian food
request,okay can i have the phone number and address
request,and the post code
inform,indonesian food
thankyou,thank you good bye
inform,i want to find a cheap restaurant and it should be in the north part of
thankyou,thank you goodbye
null,unintelligible
inform,malaysian food
request,okay and their address
inform,european
request,can i have the address
inform,i want a moderately priced restaurant in the south part of town
reqalts,okay how about a moderately prices restaurant that serves
null,unintelligible
request,area train
null,unintelligible
affirm,yes
ack,okay uh can i
inform,cheap
inform,moderate
affirm,uh yes can i find an expensive restaurant that serves italian food
request,phone
request,price range
reqalts,how about chinese food
inform,thai food
request,can you give me the address and price range
inform,moderately priced restaurant
inform,spanish food
inform,turkish food
inform,canapes
thankyou,thank you good bye
inform,any type
request,can i have the phone number
inform,im looking for an expensive restaurant in the south part of town
thankyou,thank you good bye
inform,i want a restaurant
negate,no noise
null,how about
inform,im looking for a moderately priced restaurant in the east part of town
reqalts,how about italian food
request,post code
null,sil
reqalts,how about italian food
inform,west
thankyou,thank you good bye
thankyou,thank you good bye
inform,im looking for a restaurant in the center
inform,moderate
inform,it doesnt matter
request,and the address
inform,any price range
inform,cheap
reqalts,anything else
inform,it doesnt matter
request,what is the phone number
request,an area
inform,with malaysian food
inform,any
null,now
request,what is the address and post code
request,what is the address
request,whats the type of food
request,addre
request,may i have the address and area
null,sil
inform,expensive east part of town
request,what is the addre
reqalts,anything else
reqalts,is there anything else
null,unintelligible
inform,chinese
bye,good bye
thankyou,thank you goodbye
request,post code
inform,in the south part of the town
inform,im looking for a restaurant that serves chinese food
affirm,yea
thankyou,thank you good bye
request,what type of food do they serve
inform,caribbean food
inform,food
request,what type of food do they serve
request,what is the address
request,whats the address and post code
affirm,yes
inform,the center of town
inform,im looking for a expensive restaurant that serves indonesian food
request,post code
inform,european food
request,address
inform,im looking for a restaurant in any area that serves welsh food
request,and the phone number
inform,it doesnt matter
reqalts,how about european
inform,spanish
inform,i would like an africa restaurant in the center
inform,dont care
thankyou,thank you good bye
inform,i dont care
null,type
thankyou,thank you good bye
request,the phone number
request,whats the address phone number and area
request,what is the address and phone number
inform,any
request,type of food
reqalts,what about any area
request,uh whats the address
null,noise
request,and the post code
inform,polynesian food
inform,um anything
thankyou,thank you good bye
reqalts,how about gastropub type of food
inform,moderate priced
thankyou,thank you goodbye
inform,im looking for an expensive restaurant in the east
inform,barbecue food
thankyou,thank you good bye
bye,good bye
request,what about the phone number
inform,im looking for a cheap restaurant in the south part of town
request,what type of food is it
request,and the phone number and address
inform,i do not care
request,addre
thankyou,thank you good bye
inform,dont care
request,phone number
inform,any
inform,im looking for a expensive restaurant in the
inform,international food
thankyou,thank you good bye
request,address
null,noise
confirm,is that the north part of town south part of town
request,whats the address
inform,im looking for a moderately priced restaurant in the east part of town
inform,im looking for a restaurant in the west part of town that serves moroccan food
inform,north
request,what part of town
inform,im looking for a restaurant in the north part of town
thankyou,thank you good bye
request,what is the phone number and area
null,sil
reqalts,how about european food
request,whats the address
thankyou,thank you good bye
request,post code
thankyou,okay thank you good bye
request,may i have the phone number
reqalts,anything else
reqalts,ok how about chinese food
negate,no im looking for pan asian food
inform,chinese
thankyou,thank you good bye
request,type of food
inform,find a restaurant in the west part of town
request,whats the phone number
thankyou,thank you good bye
bye,good bye
request,address and postcode
inform,im looking for a restaurant in the north part of town that serves belgian food
request,can i have the phone number
inform,thai food
inform,im looking for a restaurant in the east part of town
request,address
null,sil
thankyou,thank you good bye
thankyou,thank you good bye
inform,im looking for an expensive restaurant
request,whats the post code
request,what is the address and phone number
request,type of food
inform,any
request,and the phone number
thankyou,thank you good bye
thankyou,thank you good bye
inform,south part
request,phone number
inform,french food
negate,no
request,and the phone number
request,address and phone number
thankyou,thank you goodbye
request,can i have the address and phone number please
thankyou,thank you good bye
request,price range
request,phone number
inform,cross over
inform,breath can i get a restaurant serving chinese food
null,sil
negate,no
inform,asian oriental food
inform,italian food
inform,greek food
reqalts,how about indian food
null,sil
null,noise
request,address
negate,no
inform,fusion food
affirm,right
request,phone number and area
request,whats the address phone number and post code
request,phone number
null,care
inform,im looking for a moderately priced restaurant in the west part of town
inform,expensive
inform,im looking for an expensive restaurant in south part of town
inform,well i dont care about the price range
inform,it does not matter
inform,i need to find one in the south part of town
inform,chinese
inform,moderately priced restaurant in the north part of town
inform,i would like portuguese food
inform,cantonese food
request,address
request,phone number
reqalts,how about vietnamese type of food
request,post code
null,unintelligible
null,noise
null,noise
negate,no hungarian food
request,can i have the address
request,address
inform,south
thankyou,thank you
request,uh can i have the address
repeat,again please
thankyou,thank you goodbye noise
thankyou,thank you good bye
inform,i dont care
inform,im looking for moderately priced restaurant that serves world food
request,phone number
inform,south
thankyou,thank you good bye
inform,british expensive
inform,bistro food
request,whats the phone number
affirm,yes
request,phone number
inform,im looking for a cheap restaurant in the north part of town
null,unintelligible
null,noise
inform,breath im looking for a cheap restaurant serving catalan food
inform,im looking for an expensive restaurant in the east part of town
request,whats the price range
request,whats the post code
null,noise
inform,moderately priced
inform,indian
null,sil
thankyou,thank you good bye
inform,i want italian food
reqalts,is there anything else
request,phone number
affirm,yeah im looking for a moderately priced restaurant
thankyou,thank you good bye
affirm,yes
request,could i have the phone number and address please
reqalts,how bout any price range
inform,it doesnt matter
inform,i dont care about the price range
inform,any
null,unintelligible
inform,restaurant south part of town
inform,italian food
request,phone number
inform,modern european food
request,the address
thankyou,thank you good bye
inform,south part of town
request,and the postal code
inform,any
request,post code
inform,i want to find a cheap restaurant that serves
thankyou,thank you good bye
inform,french food
inform,any part of town
reqalts,how about italian
request,what is the post code
inform,cheap restaurant in the east part of town
inform,moderately priced
inform,canapes food
inform,gastropub food
reqalts,what about italian food
inform,steak house
null,sil
inform,any part
reqalts,are there any others
inform,moderate
thankyou,thank you good bye
request,could i have the address and phone number
bye,uh thank you and good bye
negate,no
request,address
affirm,yes
inform,im looking for a restaurant that serves indian food
request,what is the address
thankyou,thank you goodbye
request,price range
inform,italian food
request,what kind of food is that
request,address phone number and area
request,address
thankyou,thank you good bye
null,find
request,their phone number
inform,im looking for a cheap restaurant in the west part of town
request,what is the price range
request,whats the address phone number and area
request,whats the address
reqalts,is there anything else
inform,south town
reqalts,how about vietnamese food
inform,vietnamese
inform,could i have a restaurant that serves european food
inform,uh moderately price
inform,yes uh turkish food in my area
request,phone number
inform,moroccan food
request,what is their phone number
affirm,yes
request,phone number
reqalts,is there anything else
request,phone number
inform,doesnt matter
request,what is the address and phone number
confirm,does it serve mediterranean food
inform,i need a restaurant in the west part of town
inform,british
inform,mediterranean
inform,i am looking for a moderately priced restaurant serving cantonese food
inform,east part of town
request,phone number
affirm,uh yes id like an expensive restaurant that serves vegetarian food
request,okay whats the post code
inform,korean
request,address
null,um breath
request,what is the phone number
thankyou,thank you goodbye
request,what type of food does it serve
inform,british food
request,can i have the address
reqalts,are there any other cheap restaurants in the west part of town
thankyou,thank you good bye
inform,i dont care
request,um could you give me the address
request,okay what is the addre
inform,doesnt matter
inform,im looking for an expensive restaurant in the south part of town
affirm,yes
reqalts,how about thai food
request,whats the address
thankyou,thank you goodbye
affirm,right
inform,polynesian food
thankyou,thank you good bye
inform,spanish food
inform,um portuguese
inform,any
inform,i dont care
thankyou,thank you good bye
request,whats its phone number
request,my i have the phone number
request,address
affirm,yes
inform,east
request,what type of food is this
inform,i would like a cheap restaurant in the north part of town
inform,modern european foo
negate,no
reqalts,is there anything else
request,po post code
reqalts,what about asian oriental food
null,noise
request,address
inform,i dont care
inform,moderately priced
reqalts,is there anything else
inform,i want to find a cheap restaurant in the south part of town
request,whats the address
request,address and phone number
request,area
null,sil
inform,im looking for an expensive restaurant in the south
request,postcode
thankyou,thank you good bye
inform,im looking for an expensive restaurant that serves sea food
request,i need the address and phone number
inform,french food
thankyou,thank you good bye
thankyou,thank you good bye
thankyou,thank you good bye
inform,im looking for a cheap restaurant that serves cuban food
inform,i dont care
reqalts,uh how about italian
thankyou,thank you good bye
thankyou,thank you good bye
inform,american
request,and the telephone number
inform,expensive
thankyou,thank you good bye
request,what type of food is
request,can i get the address
inform,im looking for a restaurant in the center of town that serves african
thankyou,thank you good bye
inform,in the east part of town
thankyou,thank you good bye
inform,international food
thankyou,thank you good bye
inform,romanian
inform,i dont care
thankyou,thank you good bye
inform,can i have a cheap restaurant in the west part of town
inform,thai food
confirm,okay does it serve indian food
null,noise
negate,no north part of town
negate,no
affirm,yes
request,phone number
inform,i dont care
inform,unusual
null,carrier
thankyou,thank you goodbye
request,may i have the address
inform,moderate
inform,i am looking for a cheap restaurant in the west part of town
inform,center
inform,cheap restaurant that serves vegetarian food
bye,good bye
inform,looking for expensive kosher food
reqalts,how about indian food
inform,turkish food
affirm,right
request,phone number
inform,id like a pan asian restaurant
inform,i dont care
reqalts,is there anything else
inform,im looking for a restaurant in the north part of town serving jamaican food
request,phone number please
request,i need the address
request,address
inform,american
thankyou,thank you good bye
request,price range
thankyou,okay thank you good bye
request,and what kind of food does it serve
request,phone
reqalts,how about vietnamese type of food
thankyou,thank you good bye
inform,polish
inform,thai food
reqalts,is there anything else
inform,dont care
thankyou,thank you good bye
request,whats the post code
thankyou,thank you goodbye
affirm,yes
null,type
inform,north part of town
reqalts,what about italian
inform,any part of town
thankyou,thank you goodbye
thankyou,okay thank you good bye
negate,no
null,so
inform,a restaurant in the center of town serving carraibean food
inform,alright can i get chinese food
request,may i have the phone number
request,whats the phone number
request,okay can i have the address and phone number
request,post code
inform,cheap
null,wait noise
request,type of food
request,can i get the phone number
request,whats the phone number
inform,dont care
affirm,yes
request,what is the phone number
inform,moderate eur
request,okay what is the address
negate,no
inform,expensive french food
reqalts,is there anything else
inform,thai
affirm,yea
inform,im looking for a restaurant in a area that serves
null,sil
inform,not chinese food thai food
thankyou,thank you goodbye
inform,gastropub
inform,center
request,what type of food
request,okay and uh how about the phone number
request,what is the address and telephone number
request,phone number
inform,find me italian food
inform,south
inform,vietnamese food
negate,no
thankyou,thank you good bye
inform,east
null,noise
negate,no
thankyou,thank you good bye
inform,im looking for a moderately priced restaurant
thankyou,thank you good bye
inform,i dont care
affirm,uh yes can i have expensive restaurant that serves thai food
inform,doesnt matter
inform,indian food
inform,i dont care
inform,id like an expensive restaurant in the east part of town
affirm,yea in the east part of town
inform,south
inform,spanish
thankyou,thank you good bye
null,sil
inform,find a moderately priced restaurant that serves bask food
inform,indian
reqalts,how about european type of food
inform,im looking for a cheap restaurant in the south part of town
inform,doesnt matter
thankyou,thank you good bye
null,noise
inform,im looking for halal food
request,phone number
thankyou,thank you good bye
inform,moderately priced restaurant that serves creative food
request,whats the address
inform,im looking for an expensive restaurant in the south part of town
reqalts,is there anything else
request,phone number
inform,in the west
inform,moderate
reqalts,is there anything else
null,number
inform,kosher food
inform,west
reqalts,how about portuguese
inform,venetian food
inform,thai food
negate,no italian food
affirm,yes
affirm,yes
inform,any price range
inform,i dont care
inform,thai food
affirm,yeah can i um
inform,doesnt matter
thankyou,thank you good bye
inform,a chinese restaurant that serves moderately priced food
thankyou,thank you good bye
inform,for an expensive restaurant in the east part of town
inform,cheap
request,whats the phone number
inform,i dont care
inform,i dont care
hello,hi im looking for a rerestaurant that serves cuban food
inform,something cheap
inform,noise im looking for a restaurant that serves scottish food
request,whats the address
request,type of food
inform,west
inform,im looking for an expensive restaurant
request,may i know more about the area
thankyou,thank you good bye
thankyou,thank you goodbye
inform,im looking for a world food restaurant in the east part of town
inform,chinese
hello,unintelligible hello
inform,unintelligible food
inform,i dont care what part of town
reqalts,how about chinese
inform,im looking for gastropub food
thankyou,um thank you good bye
thankyou,thank you
request,whats their phone number
null,unintelligible
affirm,yes
null,noise
request,can i get the address
reqalts,how about indian
request,whats the price range
request,and the phone number
request,and the post code
request,may i have the address and phone number
reqalts,what about international
inform,belgium food
reqalts,do you have anything else
thankyou,thank you good bye
request,phone number
thankyou,thank you good bye
request,what is the phone number
request,address and post code
thankyou,thank you good bye
thankyou,thank you good bye
inform,doesnt matter
reqalts,what about chinese
negate,no
request,phone number
inform,moderate
inform,french
request,what kind of food does it serve
request,i want to know the address
thankyou,thank you good bye
thankyou,thank you good bye
inform,caribbean food
request,and whats their post code
thankyou,thank you good bye
inform,crossover restaurant west part of town
request,and the phone number
reqalts,how about european food
inform,im looking for a moderately priced restaurant in the east part of town
thankyou,thank you good bye
request,can i get the phone number
request,what is the address and phone number
inform,irish food
inform,caribbean foo
request,type of food
reqalts,anything else
null,noise
request,what is the phone number
inform,hungarian food
inform,i want to find a moderate priced restaurant that serves
thankyou,thank you good bye
reqalts,is there anything else
inform,dont care
request,whats the address
bye,good bye
inform,moderate restaurant
inform,i need a restaurant serving crossover food in the west part of town
thankyou,i know thank you goodbye
inform,greek
inform,i would like steakhouse food
request,what is the post code
request,address
inform,a restaurant in the south part of town
inform,i dont care about the price range
request,whats their address
request,whats the phone number
thankyou,thank you goodbye
inform,vietnamese food
inform,im looking for a russian food
request,and what kind of food
inform,i want to find a moderately priced restaurant in the west part town
request,address
inform,any
request,phone number
inform,british
inform,im looking for a restaurant in any area that serves tuscan food
thankyou,thank you good bye
null,im
negate,no
thankyou,thank you good bye
affirm,yes
inform,moderately priced restaurant that serves thai food
reqmore,more
inform,what about a chinese restaurant in the north of town
thankyou,thank you good bye
inform,any part
thankyou,thank you goodbye
negate,no
inform,chinese
inform,im looking for a cheap restaurant that serves belgian food
thankyou,thank you good bye
request,phone number
negate,no
thankyou,uh thank you good bye
inform,asian oriental
request,whats the phone number
inform,may i have a moderately priced restaurant serving english
thankyou,thank you good bye
inform,italian food
request,could i have the phone number and type of food
affirm,mmhm
request,whats the address
request,can i have the address
inform,portuguese
request,phone number
inform,moderate
inform,any
inform,persian food
request,what is the address
inform,in the north part o
inform,im looking for a restaurant in the east part of town serving pan asian food
thankyou,thank you good bye
affirm,right
inform,cheap
inform,asian oriental
negate,no
reqalts,anything else
null,sil
inform,irish
request,see the address
inform,i would like international food please
request,what is the address
inform,thai
inform,i dont care
reqalts,how about gastro type
inform,north
inform,cheap
thankyou,thank you good bye
null,sil
request,can i have the address
affirm,yes
thankyou,thank you good bye
inform,i would like a restaurant that serves korean food
request,can i have the phone number and post code of the venue
request,what area is it in
inform,south
inform,cambridge vietnamese food
inform,italian food cheap restaurant
inform,thai food in the west of town
request,whats the address
request,address
inform,doesnt it does not matter
inform,i need indian food
inform,how bout asian oriental
inform,korean
inform,any
confirm,is it in the center
hello,hello
reqmore,more
inform,i dont care
inform,any
thankyou,thank you good bye
null,static
inform,expensive
inform,im looking for a cheap restaurant in the west part of town
confirm,is it moderately priced
affirm,yes
request,phone number
bye,good bye
thankyou,thank you good bye
inform,vietnamese
thankyou,okay thank you good bye
request,phone number
inform,european
request,can i have the address
thankyou,thank you good bye
inform,i would like to find a moderately priced restaurant
request,address
inform,moderately priced restaurant
affirm,yes
inform,i dont care about the price range what about thai food
affirm,yes
inform,romanian food
inform,im looking for a restaurant in the west part of town that serves
inform,i dont care
inform,im looking for cuban food
inform,any
request,phone number
inform,im looking for a cheap restaurant in the south part of town
inform,a restaurant that serves
affirm,right
null,unintelligible
inform,im looking for an expensive restaurant that serves danish food
inform,i need a restaurant in the east part of town that serves canape food
inform,any price range
inform,uh african food
request,whats the phone number
request,address
thankyou,thank you goodbye
inform,im looking for a spanish food restaurant
request,can i get the phone number
thankyou,thank you good bye
inform,north part of town
inform,any
thankyou,thank you good bye
inform,any area
inform,any
request,phone number
null,unintelligible
inform,expensive restaurant that serves vegetarian food
null,noise
affirm,yes i want the phone number
request,what is the phone number
thankyou,thank you good bye
null,noise
request,address
request,whats the price range
inform,i need a place in the centre of town that serves mexican food
inform,im looking for a cheap restaurant in the south part of town
inform,mediterranean
thankyou,thank you good bye
inform,halal
request,phone number
request,phone number
thankyou,thank you good bye
request,address
request,what is the address
inform,east part of town i need an expensive restaurant
request,address
request,address
inform,the east part of town
inform,im looking for a moderately priced restaurant that serves japanese food
reqalts,what about italian food
inform,south part of town
null,cough
request,whats the address
ack,kay um
inform,italian food
inform,im looking for a restaurant in the east part of town that serves belgium food
request,address
request,phone number
reqalts,how about italian food
inform,british food
thankyou,thank you good bye
inform,english food center part of town
request,address
inform,im looking for a moderately priced restaurant that serves turkish food
request,what is the phone number
inform,any
inform,any area
request,address and area
inform,expensive
inform,restaurant
inform,indian food
thankyou,thank you goodbye
inform,expensive
inform,cheap unintelligible food
inform,im looking for a cheap restaurant that serves
request,area
affirm,yes
request,what is their post code
null,noise
inform,east
negate,no
bye,bye
inform,moderate
thankyou,thank you good bye
inform,um an expensive
request,phone number
thankyou,thank you good bye
request,what is the address
request,any price
null,unintelligible
thankyou,thank you good bye
request,address
request,whats the address
thankyou,thank you good bye
thankyou,thank you goodbye
inform,cheap
request,whats the address
reqalts,is there anything else
hello,hello and welcome to the cambridge
inform,that should be in the east part of town
request,area
inform,the west part
inform,any part of town
reqalts,what about the west part of town
reqalts,how about european food
thankyou,thank you goodbye
affirm,yes
request,whats the phone number and post code
thankyou,thank you good bye
request,what is the price range
thankyou,thank you good bye
inform,i dont care
request,area
inform,asian food in the north part of town
inform,expensive
null,care
inform,any
null,now
inform,the west side
inform,mediterranean
reqalts,how about indian food
request,what is the address
inform,what about kosher food
request,phone number
repeat,please repeat
inform,i dont care but i want it to be in the east part of town
thankyou,thank you good bye
inform,and at the gastropub
thankyou,thank you good bye
inform,spanish
inform,irish food in the south part of town
request,address
inform,center
inform,i need a cheap restaurant that serves indonesian food
inform,im looking for a cheap restaurant that serves
affirm,yes
inform,moderately priced restaurant in the south of town
inform,any area
request,kay can i get the phone number
thankyou,okay thank you good bye
thankyou,thanks bye bye
inform,ah i dont care
inform,jamaican food
request,what is the phone number and post code
inform,the west part of town
thankyou,thank you good bye
bye,see you goodbye
thankyou,thank you good bye
request,oh whats the address
inform,dont care
thankyou,thank you good bye
bye,you good bye
thankyou,thank you good bye
affirm,yes
inform,i want a moderately priced restaurant in the north part of town
inform,im looking for venison food cross talk
inform,indian
request,what is the address
request,whats the phone number
inform,expensive restaurant
negate,no spanish
thankyou,thank you good bye
inform,im looking for a moderately priced restaurant that serves endonesian
reqalts,is there anything else
inform,any
inform,id like a cheap restaurant in the east part of town
request,phone number
inform,indian food in the west part of town
thankyou,thank you good bye
reqalts,is there anything else
thankyou,thank you good bye
thankyou,thank you good bye
inform,tuscan food
inform,west
inform,im looking for a restaurant in the south part of town that serves
request,post code
request,phone number and price range
thankyou,thank you good bye
thankyou,thank you good bye
inform,i dont care
inform,spanish food
request,whats the address
null,unintelligible
reqalts,how about indian food
request,the address
inform,i need to know if there are any restaurants serving turkish food
thankyou,thank you good bye
inform,center of town
request,what type of food is served
inform,i dont care
inform,asian oriental
thankyou,thank you good bye
bye,goodbye
