dialog_act,utterance,predicted_dialogact
thankyou,thank you good bye,inform
inform,french,inform
,now,inform
inform,dont care,inform
request,phone number,inform
inform,im looking for spanish food,inform
reqalts,i dont want that give me another spanish choice,inform
request,thats fine give me the address,inform
inform,im looking for a restaurant in any area that,inform
inform,gastropub,inform
thankyou,thank you good bye,inform
inform,south,inform
inform,south,inform
inform,expensive,inform
inform,i want a restaurant that serves basque food,inform
inform,uh i want a restaurant that serves international food,inform
affirm,yes,inform
inform,do you have prezzo,inform
inform,i dont care,inform
bye,bye,inform
inform,international food,inform
,noise,inform
inform,im looking for a restaurant in the east part of town,inform
request,phone number,inform
inform,turkish,inform
inform,north,inform
inform,dont care,inform
request,type of food,inform
thankyou,thank you good bye,inform
request,address,inform
inform,french,inform
inform,dont care,inform
affirm,yes,inform
inform,italian,inform
,unintelligible,inform
inform,the south,inform
,unintelligible,inform
request,whats the address and phone number,inform
request,whats the phone number,inform
inform,i am looking for a moderately priced restaurant in the south,inform
thankyou,thank you good bye,inform
inform,doesnt matter,inform
inform,can i have asian food,inform
negate,no,inform
thankyou,thank you good bye,inform
inform,im looking for a moderately priced restaurant in the west part,inform
request,great whats the address and phone number,inform
reqalts,how about indian food,inform
reqalts,how about indian food,inform
inform,i dont care,inform
inform,international food,inform
request,address,inform
inform,doesnt matter,inform
inform,vietnamese food,inform
negate,no,inform
thankyou,thank you,inform
thankyou,thank you bye,inform
,sil,inform
affirm,yes,inform
inform,swiss food,inform
,sil,inform
request,phone number,inform
request,and their address,inform
request,phone number,inform
inform,i would like a moderately priced restaurant,inform
inform,doesnt matter,inform
request,what is the phone number,inform
,system,inform
reqalts,how about vietnamese food,inform
inform,indian,inform
inform,i want indonesian food,inform
affirm,yes,inform
inform,i dont care,inform
confirm,is it chinese food though,inform
inform,i want chinese food,inform
inform,i dont care,inform
request,type of food,inform
inform,south,inform
inform,south,inform
inform,chinese food,inform
inform,moderate,inform
inform,can i have an expensive restaurant,inform
request,what is the address and phone number,inform
inform,i dont care about the price range,inform
thankyou,thank you,inform
hello,hi i am looking for a moderately priced restaurant in the east part of town,inform
thankyou,thank you good bye,inform
reqalts,what about chinese food,inform
thankyou,thank you goodbye,inform
request,whats the phone number and post code,inform
inform,north american,inform
affirm,yes,inform
inform,north american food,inform
inform,north american restaurant expensive,inform
request,whats the price range,inform
thankyou,thank you good bye,inform
request,can i have the address phone number and post code,inform
inform,i dont care,inform
reqalts,um how about italian food,inform
inform,north,inform
request,what is their address and phone number,inform
inform,any,inform
request,post code,inform
inform,i would like an expensive restaurant in the south part of town,inform
request,can i have the address,inform
thankyou,thank you good bye,inform
inform,im looking for a restaurant in the east part of town that serves traditional food,inform
reqalts,how about chinese food,inform
inform,i want to find a moderately priced restaurant in the east part of town,inform
affirm,yes,inform
request,what the address,inform
,modern europene,inform
inform,moderately priced restaurant in the west part of town,inform
inform,dont care,inform
request,what is the address and phone number,inform
reqalts,is there anything else,inform
inform,east,inform
inform,dont care,inform
inform,catalan food,inform
inform,danish food,inform
request,address,inform
inform,east part,inform
request,and the address,inform
inform,yea im looking for some spanish food,inform
thankyou,thank you good bye,inform
inform,it doesnt matter,inform
inform,looking for a restaurant in the center part of town,inform
inform,mexican food,inform
inform,i need an expensive restaurant in the east part of town,inform
thankyou,thank you good bye,inform
inform,type food,inform
request,whats the address,inform
request,phone number,inform
inform,id like to find an expensive restaurant in the east side of town,inform
inform,im looking for a moderately priced restaurant,inform
reqalts,is there anything else,inform
inform,the south part of town,inform
inform,are there any turkish restaurants,inform
inform,turkish,inform
inform,something moderately priced,inform
affirm,yes,inform
inform,find asian oriental,inform
request,what is the address and phone number,inform
inform,i do not care,inform
thankyou,thank you good bye,inform
inform,im looking for a cheap restaurant in the west part of town,inform
request,can i have an address,inform
request,what type of food is that,inform
,can i get a,inform
thankyou,thank you good bye,inform
thankyou,thank you good bye,inform
reqalts,how about indian food,inform
request,whats the address,inform
thankyou,thank you good bye,inform
inform,i want cuban food,inform
request,price,inform
reqalts,is there anything else,inform
inform,what about in the center of town,inform
thankyou,thank you goodbye,inform
inform,it doesnt matter,inform
inform,im looking for chinese food,inform
affirm,yes,inform
thankyou,thank you good bye,inform
request,may i have the address,inform
request,phone number and post code,inform
request,phone number,inform
inform,i dont care,inform
request,whats the address,inform
inform,south,inform
inform,south part of town,inform
inform,restaurant in the south part of town,inform
inform,portuguese,inform
reqalts,is there a different cheap restaurant in the west part of town,inform
inform,expensive,inform
inform,anything,inform
request,and what type of food is it,inform
request,address,inform
thankyou,thank you good bye,inform
negate,noise no,inform
inform,noise i dont care about the price range,inform
request,noise may i have its address,inform
inform,dont care,inform
inform,cheap restaurant,inform
inform,is there mediterranean food,inform
inform,i want mediterranean food,inform
inform,unusual food,inform
affirm,ok yeah,inform
thankyou,thank you good bye,inform
request,address,inform
request,phone number,inform
,sil,inform
inform,any,inform
thankyou,thank you good bye,inform
affirm,yes,inform
inform,vietnamese,inform
request,whats the address,inform
inform,seafood,inform
affirm,yes,inform
inform,east,inform
inform,east,inform
inform,any,inform
inform,spanish,inform
bye,okay cool thank you good bye,inform
request,could i have the address phone number and post code,inform
thankyou,thank you good bye,inform
inform,im looking for a cheap restaurant in the south part of town,inform
request,whats the address,inform
request,can i have the address and phone number please,inform
thankyou,thank you good bye,inform
request,phone number and price range,inform
request,phone number,inform
,unintelligible,inform
request,price range,inform
request,may i get the phone number,inform
request,and post code,inform
hello,hi im looking for a restaurant in the east art of town,inform
affirm,yes,inform
inform,any area,inform
inform,turkish food,inform
inform,part of town that serves asian food,inform
thankyou,thank you good bye,inform
inform,im looking for indian food,inform
inform,it doesnt matter,inform
request,address and type of food,inform
inform,any food,inform
thankyou,thank you good bye,inform
inform,australian,inform
inform,is there an expensive restaurant that serves french,inform
reqalts,how about french food,inform
inform,vietnamese food,inform
thankyou,thank you good bye,inform
inform,i want an expensive restaurant in the south part of town,inform
request,what is the post code,inform
request,whats the address,inform
request,and what type of food,inform
inform,cantonese,inform
request,phone number and pri,inform
request,phone number,inform
reqalts,how about north american food,inform
inform,north american,inform
inform,indonesian,inform
reqalts,how about chinese food,inform
inform,any area,inform
reqalts,what about spanish food,inform
request,whats the signature dish,inform
thankyou,thank you good bye,inform
inform,a restaurant that serves scandinavian food,inform
inform,how bout thai,inform
inform,how bout thai food,inform
inform,dont care,inform
inform,spanish food,inform
thankyou,thank you good bye,inform
inform,im looking for a turkish restaurant,inform
inform,it doesnt matter,inform
inform,i dont care,inform
confirm,does it serve swedish serve,inform
reqalts,how about asian food,inform
reqalts,how about asian oriental,inform
thankyou,thank you good bye,inform
inform,moderately priced vanessa restaurant,inform
inform,gastropub,inform
thankyou,thank you good bye,inform
inform,i want a cheap restaurant in the north part of town,inform
request,whats the phone number,inform
inform,in the east part of the town,inform
thankyou,okay thank you good bye,inform
request,can i have the address phone number and the type of food,inform
request,can i have the type of food,inform
thankyou,thank you good bye,inform
inform,creative food,inform
request,whats the address,inform
thankyou,thank you good bye,inform
inform,cheap restaurant,inform
inform,west,inform
inform,west,inform
inform,south part of town,inform
request,phone number,inform
inform,noise taquita restaurant,inform
request,type of food,inform
request,phone number and address,inform
confirm,do they have turkish food,inform
bye,alright thank you good bye,inform
,noise,inform
request,the address,inform
request,whats their address,inform
inform,chinese food,inform
inform,im looking for a restaurant in the east part of town,inform
request,what is the phone number,inform
thankyou,thank you good bye,inform
inform,it doesnt matter,inform
affirm,yes,inform
inform,i dont care,inform
inform,moderately priced restaurant in the north part of town,inform
reqalts,what about center area,inform
inform,im looking for a european restaurant in center area,inform
thankyou,thank you good bye,inform
affirm,yes,inform
thankyou,thank you good bye,inform
inform,doesnt matter,inform
inform,it doesnt matter,inform
request,what kind of food do they have,inform
affirm,yes,inform
inform,im looking for a cheap restaurant that serves chinese food,inform
thankyou,thank you good bye,inform
inform,ok talian food,inform
inform,catalen food,inform
inform,i am looking for catalin food,inform
affirm,yes,inform
request,whats its address,inform
inform,a cheap,inform
inform,asian oriental,inform
thankyou,okay uh thank you and good bye,inform
inform,west,inform
request,phone number,inform
,noise,inform
bye,good bye,inform
inform,turkish food,inform
request,could i have the address and price range please,inform
inform,any area,inform
inform,expensive,inform
inform,thai food,inform
negate,no thai food,inform
affirm,yes im looking for english food,inform
request,phone number,inform
inform,dont care,inform
reqalts,how about itailian,inform
inform,moderate,inform
request,address,inform
thankyou,thank you good bye,inform
inform,uh dont care,inform
inform,um anything else,inform
request,telephone number,inform
thankyou,thank you good bye,inform
inform,it does not matter,inform
inform,i do not care,inform
inform,romanian food,inform
request,and the phone number,inform
request,whats the phone number,inform
inform,i dont care,inform
reqalts,anything else,inform
inform,gastropub type food noise,inform
inform,gastropub,inform
inform,i dont care,inform
request,whats the post code noise,inform
thankyou,thank you goodbye,inform
inform,moderately priced spanish restaurant,inform
thankyou,thank you good bye,inform
inform,austrian food,inform
inform,chinese food,inform
inform,the south part of town,inform
inform,dont care,inform
thankyou,thank you good bye,inform
request,what is you gardens phone number,inform
request,what is its post code,inform
inform,an expensive restaurant serving cantonese food,inform
inform,creative,inform
inform,european,inform
request,post code,inform
request,what is the phone number,inform
inform,west,inform
request,what is the address and phone number,inform
request,the address,inform
inform,i do not care,inform
inform,im looking for a moderately priced restaurant in the east part of town,inform
reqalts,how about french food,inform
thankyou,thank you goodbye,inform
inform,uh id like a moderately priced restaurant in the north part,inform
thankyou,thank you good bye,inform
inform,i dont care,inform
request,what is the phone number,inform
thankyou,thank you good bye,inform
thankyou,thank you goodbye,inform
,unintelligible,inform
inform,international food,inform
bye,alright thank you good bye,inform
thankyou,thank you good bye,inform
negate,no,inform
negate,no,inform
request,what type of food is it,inform
request,whats the phone number,inform
,unintelligible,inform
affirm,yes,inform
reqalts,how about an expensive restaurant,inform
inform,im looking for an expensive restaurant in a,inform
inform,the center of town,inform
thankyou,thank you good bye,inform
thankyou,thank you good bye,inform
,noise,inform
thankyou,thank you good bye,inform
reqalts,anything else,inform
request,phone number,inform
thankyou,thank you good bye,inform
inform,portugese,inform
request,whats the phone number,inform
inform,im looking for a restaurant in the east part of town that serves c,inform
inform,canapes,inform
reqalts,uh are there any restaurants serving chinese,inform
reqalts,anything else,inform
inform,expensive restaurant east part of town,inform
inform,any,inform
inform,i want a moderately priced restaurant in the east,inform
reqalts,is there anything else,inform
thankyou,thank you good bye,inform
request,post code,inform
inform,expensive,inform
thankyou,thank you good bye,inform
inform,south part of town,inform
thankyou,thank you good bye,inform
inform,moderate,inform
affirm,yes spanish food,inform
inform,any,inform
inform,east part of town,inform
inform,caribbean food,inform
thankyou,thank you good bye,inform
inform,i dont care,inform
inform,polish food,inform
inform,im looking for a moderately priced restaurant that serves turkish food,inform
thankyou,thank you good bye,inform
request,address and phone number,inform
inform,moderate,inform
request,whats the phone number,inform
inform,i dont care,inform
inform,south,inform
inform,south,inform
thankyou,thank you good bye,inform
inform,east,inform
request,what is the address,inform
inform,i want an expensive restaurant,inform
request,does it serve,inform
reqalts,what about portuguese food,inform
inform,anything,inform
inform,south part of town,inform
request,give me address and phone number,inform
affirm,yes,inform
,noise,inform
reqalts,how about russian food,inform
reqalts,how about russian food,inform
inform,it doesnt matter,inform
request,what is the phone number,inform
affirm,yes,inform
inform,any area,inform
inform,i want a cheap restaurant in the south part of town,inform
inform,it doesnt matter,inform
inform,east,inform
request,phone number,inform
inform,south,inform
inform,south,inform
inform,vietnamese,inform
,noise,inform
reqalts,anything else,inform
inform,dont care,inform
inform,any thing,inform
affirm,yes,inform
reqalts,are there any other restaurants,inform
inform,italian food,inform
thankyou,thank you good bye,inform
inform,catalan,inform
deny,wrong,inform
thankyou,thank you good bye,inform
request,whats the address,inform
negate,no,inform
inform,im looking for a moderately price restaurant that serves halo food,inform
reqalts,what about european food,inform
request,give me the address,inform
inform,catalan food,inform
request,what is the address,inform
request,whats the phone number,inform
inform,in the east,inform
request,and the phone number,inform
thankyou,thank you good bye,inform
request,what is the address,inform
inform,unusual food,inform
request,whats the phone number,inform
request,whats the address,inform
thankyou,thank you good bye,inform
negate,no,inform
inform,i dont care,inform
inform,i want lebanese food,inform
thankyou,thank you good bye,inform
inform,im looking for an ex,inform
inform,any price range,inform
request,what is the phone number,inform
inform,any type of food,inform
thankyou,thank you good bye,inform
inform,dont care,inform
thankyou,thank you good bye,inform
inform,italian food,inform
inform,south,inform
inform,south,inform
affirm,right,inform
,unintelligible,inform
thankyou,thank you good bye,inform
inform,moderately priced restaurant in the west part of town,inform
inform,italian,inform
inform,uh cheap restaurant malaysian food,inform
inform,unintelligible food,inform
inform,bistro food,inform
inform,im looking for an expensive restaurant that serves swiss food,inform
inform,dont care,inform
thankyou,thank you good bye,inform
inform,chinese food,inform
,unintelligible,inform
,unintelligible,inform
,unintelligible,inform
request,and the type of food,inform
request,whats the address,inform
reqalts,what about portuguese food,inform
inform,french food,inform
request,whats their phone number,inform
request,can i get the address,inform
inform,im looking for an expensive restaurant in the south part of town,inform
thankyou,thank you good bye,inform
affirm,yes,inform
inform,im looking for a restaurant in the east part of town,inform
reqalts,anything else,inform
,okay,inform
bye,okay thank you and good bye,inform
reqalts,what about gastropub,inform
affirm,yes,inform
inform,any anything else,inform
thankyou,thank you good bye,inform
inform,gastropub food,inform
inform,gastropub,inform
request,what type of food do they serve,inform
inform,i dont care,inform
request,type of food,inform
inform,gastropub food,inform
thankyou,thank you good bye,inform
,ad,inform
affirm,yes,inform
request,phone number,inform
request,what area is it in,inform
request,phone number,inform
,noise,inform
inform,im looking for an expensive restaurant in the south part of tow,inform
thankyou,thank you goodbye,inform
request,address,inform
inform,in the east part of town,inform
affirm,yes,inform
request,what is the address,inform
inform,air tran,inform
reqalts,how about chinese restaurants,inform
request,can i have the phone number and price range,inform
,noise,inform
inform,scandinavian,inform
inform,moderate,inform
request,what is the address and phone number,inform
request,can i have the address and price range,inform
inform,indian food,inform
inform,im looking for a moderately priced restaurant in the south part of town,inform
request,what is the address,inform
,unintelligible,inform
thankyou,thank you good bye,inform
inform,restaurant in the south part of town,inform
inform,i dont care,inform
,can i,inform
request,can i have the address,inform
request,can i have the phone number,inform
confirm,is it in the west part of town,inform
inform,spanish,inform
inform,spanish,inform
thankyou,thank you good bye,inform
inform,any,inform
request,whats the address,inform
thankyou,thank you good bye,inform
inform,food,inform
request,type of food,inform
inform,food,inform
inform,im looking for korean food,inform
request,whats its post code,inform
request,whats the phone number,inform
reqalts,is there anything else,inform
inform,i need a moderately priced restaurant in the north part,inform
inform,welsh food in the north part of town,inform
request,phone number,inform
reqalts,how about a castro pub,inform
request,may i have the address please,inform
request,what is the area of this venue,inform
inform,doesnt matter,inform
inform,dont care,inform
inform,west part of town,inform
thankyou,thank thank,inform
thankyou,thank you good bye,inform
inform,uh thai food,inform
inform,expensive,inform
request,and uh their post code,inform
reqalts,is there a restaurant in the south part of town that serves italian food,inform
request,can i have the phone number and post code,inform
inform,i dont care,inform
thankyou,thank you good bye,inform
request,what is the address,inform
thankyou,thank you good bye,inform
inform,are there any serves asian oriental,inform
inform,pan asian food,inform
inform,west,inform
inform,italian food,inform
inform,i dont care,inform
thankyou,thank you good bye,inform
request,the address,inform
request,type of food,inform
,unintelligible,inform
inform,korean,inform
thankyou,thank you good bye,inform
,unintelligible,inform
affirm,yes,inform
request,what is the phone number,inform
inform,west part of town,inform
inform,find me a restaurant in the north part of town,inform
inform,i dont care,inform
reqalts,is there anything else,inform
inform,expensive,inform
reqalts,how about indian food,inform
request,phone number please,inform
thankyou,thank you good bye,inform
inform,id like an expensive italian restaurant,inform
negate,no,inform
negate,no,inform
inform,any area,inform
bye,good bye,inform
request,may i get the address and phone number,inform
inform,any area expensive price range,inform
request,what is the golden woks address,inform
affirm,yes,inform
affirm,yes,inform
inform,alright gastropub food,inform
request,what area,inform
request,post code,inform
thankyou,thank you good bye,inform
inform,that serves jamaican food,inform
inform,in the south part of town,inform
thankyou,thank you good bye,inform
thankyou,thank you good bye,inform
inform,im looking for seafood,inform
inform,east,inform
thankyou,thank you good bye,inform
request,address,inform
thankyou,thank you good bye,inform
request,okay may i have the address,inform
thankyou,thank you good bye,inform
request,what type of food,inform
inform,uh expensive european food,inform
inform,middle,inform
inform,south of town,inform
inform,expensive european food,inform
request,and the area,inform
reqalts,what about australian asian food,inform
request,whats the addre,inform
negate,no,inform
inform,chinese food,inform
inform,im looking for a restaurant it should serve vietnamese food,inform
inform,chinese food,inform
inform,expensive,inform
bye,good bye,inform
inform,any kind of food,inform
request,address,inform
request,whats the phone number,inform
inform,vietnamese food,inform
request,phone number,inform
inform,any price range,inform
inform,i dont care,inform
inform,in the east,inform
,sil,inform
inform,vietnamese,inform
,kish,inform
inform,turkish restaurant,inform
thankyou,thank you good bye,inform
inform,im looking for a expensive restaurant serving irish food,inform
inform,center,inform
request,post code,inform
inform,dont care,inform
thankyou,thank you good bye,inform
bye,good bye,inform
bye,good bye,inform
inform,i need a restaurant that serves african food,inform
request,i need the address phone number and post code,inform
,unintelligible,inform
,unintelligible,inform
inform,south,inform
inform,american,inform
inform,moderate restaurant south part of town,inform
inform,im looking for a cheap restaurant that serves irish food,inform
thankyou,thank you goodbye,inform
inform,any type of food,inform
inform,christmas food,inform
inform,alright i want a restaurant in any,inform
request,the address and phone number,inform
reqalts,is there a restaurant serving thai food,inform
inform,i want thai food,inform
affirm,yes,inform
request,and the phone number,inform
reqalts,how about mediterranean,inform
request,and the phone number,inform
thankyou,thank you good bye,inform
,sil,inform
request,can i have the address,inform
inform,iam looking,inform
,unintelligible,inform
inform,iam looking for a restaurant that serves bistro food,inform
reqalts,how about portuguese food,inform
reqalts,how about portuguese food,inform
request,phone number,inform
thankyou,thank you good bye,inform
inform,looking for an expensive restaurant that,inform
reqalts,how about korean food,inform
reqalts,how about korean food,inform
bye,okay good bye,inform
inform,im looking for an expensive restaurant,inform
inform,austro food,inform
thankyou,thank you good bye,inform
inform,thai food,inform
inform,indonesian food,inform
inform,indonesian,inform
inform,any is okay,inform
request,the price range,inform
inform,i dont care,inform
reqalts,anything else,inform
reqalts,is there anything else,inform
thankyou,thank you good bye,inform
affirm,yes,inform
negate,no,inform
affirm,yes,inform
negate,no lebanese food,inform
thankyou,thank you good bye,inform
inform,i need a cheap restaurant in the south part of town,inform
request,whats the address,inform
thankyou,thank you good bye,inform
inform,iam looking for a restaurant in any area that serves swiss food,inform
,how about,inform
inform,looking for corsica food in an expensive restaurant,inform
request,how about the phone number,inform
inform,cheap,inform
reqalts,how about chinese food,inform
affirm,yes,inform
confirm,is it moderately,inform
request,offer you the phone number and address,inform
inform,cheap restaurant,inform
request,address,inform
inform,im looking for french food,inform
request,whats the address,inform
inform,it should serve caribbean food,inform
request,and whats the address,inform
request,phone number,inform
thankyou,thank you good bye,inform
inform,cheap italian,inform
,okay,inform
inform,im looking for an expensive restaurant,inform
inform,i am looking for an expensive restaurant,inform
inform,of this restaurant,inform
thankyou,thank you,inform
reqalts,how about indian food,inform
inform,indian food,inform
thankyou,thank you good bye,inform
,that serves,inform
request,and the post code,inform
inform,any,inform
inform,i need a cheap restaurant in the east part of town,inform
thankyou,okay thank you good bye,inform
,what do you recommend,inform
inform,caribbean food,inform
thankyou,okay thank you good bye,inform
inform,korean food,inform
inform,the south part of town,inform
request,what is the phone number,inform
affirm,yea,inform
inform,im looking for a cheap restaurant in the south part of town,inform
thankyou,thank you,inform
