dialog_act,utterance
inform,i need thai food
inform,barbecue food
reqalts,okay how about french
affirm,yes
reqalts,what about british
null,whats the ph
request,address
negate,no thank you good bye
inform,im looking for world food
thankyou,thank you
request,what is the address
thankyou,thank you good bye
inform,anything
request,what type of food
inform,thai food
null,unintelligible
thankyou,thank you good bye
inform,cheap restaurant
request,okay whats the phone number
inform,i would like a moderately priced restaurant serving african food
inform,the west part of town
thankyou,thank you good bye
inform,cheap restaurant in west part of town
hello,hello
request,okay what is the phone number
null,breathing
inform,vietnamese food
request,price range
request,phone number
thankyou,thank you good bye
negate,no im looking for a cheap price range in the east part of town
inform,turkish type food
inform,any type of food
request,post code
inform,north
inform,i dont care
inform,uh looking for a restaurant in the west part of town that serves canapes food
null,unintelligible
request,what is the phone number
reqalts,what about turkish food
reqalts,is there anything else
inform,korean food
request,what is the address
inform,moderate price
thankyou,thank you good bye
inform,im looking for canapes food in any price range
thankyou,thank you good bye
request,what food is available in the south part of town
reqalts,how about vietnamese food
inform,danish
affirm,yes
thankyou,thank you good bye
inform,thai food
inform,asian oriental
reqalts,kay how about indian food
inform,thai food
request,can i have the phone number
confirm,does it serve fusion food
affirm,yes
request,what is the price range
request,alright whats the address
inform,west
thankyou,thank you good bye
affirm,yes
inform,caribbean food
inform,any kind
request,what type of food
inform,south
affirm,yes
inform,center
affirm,breath yes id like a moderately priced restaurant that serves thai food
affirm,yea
reqalts,how about spanish
request,could i have the address
inform,cheap restaurant
inform,doesnt matter
thankyou,thank you good bye
request,what is the price range
null,unintelligible
request,phone number
reqalts,how about indian food
thankyou,thank you good bye
inform,european
thankyou,thank you good bye
inform,south
inform,north part of town
inform,im looking for cheap food
negate,no
request,and can i get their address
thankyou,thank you good bye
request,what is the address
inform,italian
null,sil
null,noise
null,sil
inform,im looking for a restaurant in the south part of town that serves
reqalts,how about vietnamese
inform,i want an italian restaurant
reqalts,how about portuguese
inform,expensive restaurant
inform,any
request,type of food
null,cough
inform,looking for a cheap restaurant in the east part of town
request,may i get the phone number
request,phone number
thankyou,thank you good bye
request,what is the area
inform,spanish food
inform,west
inform,center
request,whats the address
request,address and phone number
null,unintelligible
request,what is the address
request,phone number please
inform,vegetarian
request,what is the address and phone number
inform,cantonese
inform,cheap restaurant in the west part of town
thankyou,thank you good bye
inform,british food
request,what is the phone number and post code
thankyou,thank you good bye
reqalts,is there anything else
request,whats the price range
inform,kosher food
inform,moderate
inform,modern european
thankyou,thank you good bye
request,phone number
inform,chinese
inform,im looking for an expensive restaurant in the south part of
inform,i dont care
thankyou,thank you good bye
request,whats the address
inform,expensive restaurant
request,address
null,noise okay
thankyou,thank you goodbye
inform,italian food
request,whats the phone number and address
reqalts,what about korean food
inform,im looking for a pan asian food in the south of town
thankyou,thank you good bye
null,nosie
reqalts,how about thai
thankyou,uh thank you
inform,i dont care
reqalts,what about european food
inform,portuguese food
thankyou,thank you good bye
affirm,yes
request,address
thankyou,thank you
request,um whats the price range
inform,moderate
inform,any type of food
request,um what is the address and phone number
inform,danish
request,address
request,whats the address
thankyou,thank you good bye
hello,hi
thankyou,thank you good bye
inform,cheap restaurant
reqalts,what else
request,and the postal code
null,oh boy
request,how about the post code
inform,international food
request,whats their address
reqalts,is there anything else
inform,uh doesnt matter expensive
inform,thai food
request,phone number
reqalts,how about chinese
null,sil
thankyou,thank you good bye
inform,uh center
request,what is their address
inform,uh restaurant in the west part of town with scottish food
reqalts,how about turkish food
reqalts,is there anything else
thankyou,thank you good bye
inform,polynesian food
reqalts,how about any price range
inform,any any part of town
request,address
request,phone number
inform,i need a moderately priced restaurant
thankyou,thank you good bye
null,noise
confirm,is it expensive
inform,im looking for a cheap restaurant in the south part of town
inform,indian
inform,i want to find a cheap restaurant in the south part of town
request,what is there address
inform,can i find something in the south side
inform,it doesnt matter
inform,do you have an expensive restaurant
inform,you know thai thai food
request,whats the address
inform,mexican food
inform,scottish
inform,european
request,and the post code
inform,kitalian food
request,and the phone number
request,may i have the phone number
inform,i would like gastropub
inform,id like a moderately price
reqalts,how about a chinese restaurant
inform,italian
request,what is the phone number
inform,cheap
hello,hi im looking for a rerestaurant that serves cuban food
request,and the phone number
reqalts,is there anything else
inform,north part of town please
request,phone number
thankyou,thank you good bye
reqalts,is there anything else
inform,i dont care
thankyou,thank you good bye
thankyou,thank you good bye
inform,gastropub food
inform,um moderate
confirm,do they serve turkish food
inform,um any type
request,price range
request,address
inform,steakhouse
reqalts,how about asian oriental
inform,im looking for a restaurant in the west part of town that serves christmas food
thankyou,thank you
inform,im looking for a moderately priced restaurant that serves turkish food
null,sil
affirm,yes
inform,i want christmas food
inform,in the west part of town
request,what is the address and post code
request,and their phone number please
request,what is the price range
thankyou,thank you good bye
request,may i have the address
inform,moderate
request,address
thankyou,thank you good bye
reqalts,is there anything else
inform,i dont care
request,what is the phone number
request,can i get the address and phone number
inform,i need to find a restaurant in the west part of town
request,whats the phone number
thankyou,thank you good bye
null,laugh
thankyou,thank you good bye
request,what area is it in
request,address
request,breath may i have the phone number please
thankyou,thank you good bye
inform,i dont care
inform,a restaurant in the center that serves mediterranean food
null,noise
request,can i have the phone number and post code
thankyou,thank you good bye
reqalts,how about asian oriental food
thankyou,thank you goodbye
reqalts,how about italian
reqalts,what about any area
request,what is the address
thankyou,thank you goodbye
inform,gastropub
thankyou,thank you good bye
inform,it doesnt matter
reqalts,how about a moderately priced restaurant that serves spani
null,noise
inform,vietnamese food
thankyou,thank you good bye
request,what is the address and phone number
request,what is the phone number
inform,cheap restaurant serving scandinavian food
inform,mexican food
thankyou,thank you good bye
thankyou,thank you
thankyou,thank you goodbye
bye,bye
thankyou,thank you good bye
request,what type of food do they serve
request,phone number
request,phone number
request,may i have the address
inform,the west part of town
inform,a restaurant that serves german food
request,phone number
affirm,uh yeah can i find a restaurant in the south part of town serving turkish food
null,the
request,phone number
inform,irish food
thankyou,thank you good bye
inform,im looking for a spanish restaurant
request,and what kind of food do they have
confirm,is that portuguese
inform,i dont care
inform,want indian food
null,system
thankyou,thank you good bye
inform,pan asian
thankyou,thank you goodbye
affirm,yes
thankyou,thank you good bye
inform,center
inform,in the center
thankyou,thank you good bye
request,whats the address
request,and the address
inform,british food
inform,gastropub food
null,unintelligible
thankyou,thank you good bye
inform,in the south part of town
thankyou,thank you goodbye
inform,noise taquita restaurant
inform,moderate priced
reqalts,how about british food
thankyou,okay thank you good bye
thankyou,thank you goodbye
inform,north part of town
inform,im looking for a restaurant in the south part of town that serves malaysian food
thankyou,thank you good bye
reqalts,give me something else
inform,im looking for an expensive restaurant that serves signaporean food
request,what is the phone number and type of food
inform,what about modern european
request,address
request,address
request,price range
thankyou,thank you good bye
inform,um east part
request,what is the address
inform,im looking for a moderately priced restaurant that serves
request,the phone number
inform,restaurant in the south part of town
inform,a moderately priced restaurant that serves vietnamese food
request,what is their phone number
affirm,yes
inform,christmas food
null,hello welcome to the cambridge system
affirm,yes
inform,i want an expensive restaurant
inform,i dont care
reqalts,how about vietnamese
request,what type of food
request,what kind of food does you garden serve
request,can i have the phone number
inform,cheap
affirm,right
inform,korean food in the north part of town
inform,west part of town
inform,thai
inform,south
inform,cheap restaurant north part of town
inform,i dont care
hello,hi im looking for a restaurant that serves lebanese food
thankyou,thank you goodbye
null,okay
request,address
affirm,ye
request,phone number
thankyou,thank you good bye
inform,korean
inform,portuguese
null,aw give me the damn code
thankyou,thank you good bye
inform,french
thankyou,thank you goodbye
request,phone number
inform,any
request,and what type of food do they serve
reqalts,anything else
inform,dont care
inform,does anyone serve eritrean food
inform,im looking for an expensive restaurant in the east part of town
inform,expensive
request,whats the post code
request,post code
inform,canapes food
thankyou,thank you good bye
thankyou,thank you good bye
inform,i dont care
request,phone number
inform,north
inform,dont care
inform,it does not matter
request,can i have the address and phone number of the venue
reqalts,what about chinese food
inform,north american
request,can i have the post code
request,address
request,could i have the address
inform,restaurant in center
request,whats their phone number
request,address
inform,dont care
thankyou,thank you good bye
negate,no
request,whats the address
request,what the address
thankyou,thank you good bye
null,noise
thankyou,okay thank you
inform,thai food
thankyou,thank you good bye
negate,no im looking for thai food
inform,doesnt matter
thankyou,thank you good bye
inform,i want a moderately priced restaurant in the west part of town
inform,im looking for a restaurant that serves afghan food
thankyou,thank you good bye
request,address and phone number
reqalts,how about french food
affirm,yeah im looking for a cheap restaurant
thankyou,thank you good bye
request,what type of food
null,whats the
affirm,yea
inform,dont care
inform,i do not care about the price range im just looking for a restaurant in the center that serves korean food
inform,i want an expensive restaurant in the east part of town
inform,moderate
thankyou,thank you good bye
request,phone number
inform,thai food
thankyou,thank you good bye
inform,looking for a modernity priced restaurant in the south part of town
null,noise
thankyou,thank you good bye
request,phone number
inform,looking for lebanese food in the city center
inform,indian food
inform,expensive restaurant
affirm,yes
request,the price range
request,area
reqalts,how about indian food
inform,moderate
null,noise
affirm,yes
thankyou,thank you good bye
null,noise
inform,i need a restaurant in the west part of town that serves europ
inform,any
thankyou,thank you good bye
inform,moderate
thankyou,thank you good bye
request,address
thankyou,thank you good bye
inform,french food
inform,expensive restaurant
inform,im looking for a restaurant in the cheap price range that serves asian oriental food
request,the address
inform,spanish
affirm,yes
inform,indian food
inform,id like a expensive restaurant in the south part of town
negate,no
null,how about
inform,id like a restaurant in the west part of town that serves danish
thankyou,okay thank you
inform,i need an expensive restaurant serving british food
inform,im looking for a moderately priced restaurant
request,and the phone number
thankyou,okay thank you good bye
inform,im looking for an expensive restaurant that serves
inform,any price range
request,may i have the phone number please
inform,any area
request,can i get the address and phone number
inform,unintelligible food
inform,i want to find a restaurant in the west part of town that serves english food
inform,id like italian food
inform,is doesnt matter
inform,im looking for
inform,i want a restaurant that serves
request,may i get the address and phone number
request,what is the address
inform,caribbean food
reqalts,how about asian oriental food
request,address
inform,catalan
thankyou,thank you good bye
thankyou,thank you good bye
thankyou,thank you good bye
thankyou,thank you good bye
inform,i want to find a restaurant in the south part of town
inform,doesnt matter
inform,west
inform,canapes
request,what is the address
reqalts,another
negate,no spanish
request,where is it
inform,east
inform,im looking for a restaurant in the north part of town
reqalts,is there anything else
inform,dont care
thankyou,thank you good bye
inform,moderate
inform,any kind of food
request,and the address
affirm,yes
inform,asian
inform,turkish
inform,uh west
affirm,in the center yes
inform,polynesian food
thankyou,thank you goodbye
affirm,yes
inform,i want to find a moderately priced restaurant and it should be in the
thankyou,thank you good bye
inform,looking for a cheap spanish restaurant
inform,expensive restaurant
request,what is their phone number
inform,restaurant south part of town
inform,can i get swedish food
reqalts,how about chinese food
inform,south
inform,dont care
request,post code
request,what is the phone number and post code
reqalts,anything else
reqalts,how about italian food
thankyou,thank you good bye
inform,turkish type of food
inform,any
null,sil
inform,i dont care
inform,british food
inform,i dont care
request,and the phone number
thankyou,thank you good bye
thankyou,thank you good bye
thankyou,thank you good bye
request,address
request,the phone number
inform,italian
request,may i have the address
request,and what kind of food
affirm,yeah i need um um m
inform,the east part of town
inform,im looking for an expensive
request,what is their phone number
thankyou,thank you good bye
inform,i dont care
request,whats the phone number
request,address
request,could i have the address and phone number
inform,restaurant any area japanese food
thankyou,thank you good bye
request,whats the phone number
request,address
inform,spanish
request,what is the address and phone number
null,how about
thankyou,thank you good bye
inform,moderate restaurant north part of town
inform,chinese food
thankyou,thank you good bye
request,could i get their address and phone number
request,may i have the address
request,can i get the address
inform,that serves japanese food
thankyou,okay that will be all thank you and good bye
affirm,ye
negate,no
affirm,yes
inform,i dont care tv_noise
thankyou,thank you
affirm,uh yes im looking for a cheap restaurant in the west part of town
inform,any
request,phone number
request,what is the address and phone number
inform,im looking for a restaurant that serves danish food
request,what type of food is it
negate,no
affirm,uh yes turkish food
request,okay i need the address
inform,it doesnt matter
inform,any part of town
thankyou,thank you good bye
bye,good bye
inform,moderate
null,sil
bye,good bye
inform,im looking for a moderately priced restaurant
request,the postcode
request,what price range
null,noise
request,address
inform,portuguese food
request,phone number
inform,mexican food
null,and
request,the address
request,whats the price range
null,sil
request,whats the phone number
affirm,yes
inform,im looking for a restaurant in any area that serves
affirm,yes
affirm,yes
request,uh whats the address
request,area
thankyou,thank you good bye
inform,anything
thankyou,thank you goodbye
thankyou,thank you good bye
thankyou,thank you good bye
inform,italian food please
reqalts,what about korean food
negate,no
request,what is the price range
inform,north
inform,moderately priced restaurant
inform,persian food
null,what is the
request,phone number
inform,if there is no such venue how about french type of food
inform,cheap restaurants
request,okay and their address
inform,im looking for a restaurant in the east part of town that serves indonesian food
affirm,yes
thankyou,thank you good bye
inform,american
thankyou,thank you goodbye
thankyou,thank you good bye
inform,restaurant
request,the address
request,post code
inform,chinese
inform,north american food
request,what is their phone number
request,what is the phone number and address
reqalts,what about the east part of town
inform,european food
request,phone number
request,what type of food
reqalts,is there anything else
request,what about the phone number
bye,goodbye
request,address
request,and the post code
inform,restaurant in the north part of town that serves hungarian food
thankyou,thank you good bye
request,phone number
inform,west
inform,cheap
request,whats the phone number
inform,turkish food
inform,can i get a moderate restaurant in the south part of town
inform,portuguese
request,what is the pri what is the telephone number
inform,indian
inform,im looking for meditteranian
inform,im looking for a cheap restaurant in the south part of town
request,what is the address
bye,good bye
request,price range
inform,indian food
inform,gastropub food
inform,expensive
affirm,thats correct gastropub food
null,unintelligible
inform,steak house food noise steak house food
inform,thai food
request,area
request,can i get the address
request,phone number
request,whats the address
request,what is the phone number
request,phone number
request,and the phone number
affirm,yes
bye,good bye
inform,brazilian
affirm,yes
inform,any price range
request,phone number
request,can i get their address
request,and whats the price range
inform,cheap restaurant in the east part of town
reqalts,how about canapes
request,type of food do they serve
inform,pub or british type of food
inform,in the east part of town
request,what is their phone number and type of food
request,what type of food
inform,asian oriental
request,okay address
inform,find a restaurant serving cuban food
inform,vietnamese
thankyou,thank you good bye
confirm,is there a thai restaurant in the west of town
inform,um expensive restaurant
inform,greek
inform,i would like to find a restaurant in the north part of town
thankyou,thank you
request,ah where is it
thankyou,thank you
inform,christmas
affirm,ye
inform,swedish food
thankyou,thank you good bye
request,serves what
inform,noise restaurant west part of town danish food
request,phone number
inform,i would like to find a restaurant in the west part of town
inform,i want an expensive restaurant that serves african food
inform,im looking for italian food
inform,expensive restaurant
repeat,can you repeat that
inform,doesnt matter
inform,eritrean
thankyou,thank you good bye
inform,greek
inform,hungarian food
inform,any
thankyou,thank you good bye
inform,asian oriental food
reqalts,how about italian
request,what kind of food does it serve
thankyou,thank you good bye
request,type of food served
request,what is the address
request,whats the address
thankyou,thank you good bye
inform,dont care
inform,doesnt matter but it should be moderately priced
request,part of town
thankyou,thank you good bye
inform,i dont care
request,address
affirm,yes
inform,i dont care
inform,moderate
thankyou,thank you good bye
inform,japanese food
thankyou,thank you good bye
request,phone number
request,whats the area
request,address
null,unintelligible
inform,singaporean food
inform,vietnamese food in any price range
inform,cheap restaurant in the west part of town
inform,moderate
affirm,yes
request,what is the address and phone number
request,telephone number
thankyou,thank you goodbye
thankyou,thank you goodbye noise
reqalts,how about indian type of food
request,can i get the address
affirm,yea i want indian food
thankyou,thank you good bye
inform,british food
inform,looking for a moderately priced restaurant in the east
inform,swedish food
inform,expensive
request,address phone number
confirm,is it moderate
inform,the south part of town
reqalts,how about indian food
inform,mediterranean
null,sil
inform,canapes
inform,west side
inform,indian food
null,sil
confirm,okay is it moderately priced
request,may i have the phone number and address please
bye,good bye
inform,it should serve belgian food
request,address and phone number
null,sil
affirm,yes
request,what type of food do they serve
inform,im looking for an expensive restaurant in the south part of town
null,noise
request,whats the address
request,address
null,freakin
inform,unintelligible restaurant
affirm,right
null,sil
thankyou,thank you good bye
thankyou,thank you good bye
inform,south
request,may i have the address
inform,asian oriental
thankyou,thank you good bye
inform,greek food in the north part of town
inform,korean food
reqalts,how about chinese
thankyou,thank you good bye
reqalts,how about international
request,can i have the address of the venue
request,may i have the phone number please
inform,im looking for thai food
thankyou,thank you good bye
inform,south
null,noise
thankyou,thank you good bye
request,ok whats the phone number
inform,any expensive
inform,uh any area
inform,venetian
inform,katalian food
inform,veitnamese
inform,any
inform,east
reqalts,anything else
thankyou,thank you good bye
request,whats the post code
inform,south part of town
inform,i need a moderately priced restaurant serving fusion food
inform,im looking for an expensive restaurant in the east part of town
inform,i would like to find a moderately priced restaurant and it should be in the east
null,breathing
request,the address
inform,portuguese
thankyou,thank you good bye
request,phone number
request,postcode
inform,north
request,whats the address phone number and post code
request,address
request,phone number
inform,cheap italian food
affirm,yea
affirm,yes
thankyou,thank you good bye
inform,i dont care
bye,good bye
inform,dont care
negate,no i want halal food
inform,ok talian food
inform,korean food
thankyou,thank you goodbye
request,address
request,address
reqalts,how about indian
inform,it doesnt matter
inform,south
inform,a restaurant thats serving international food
negate,no
inform,i dont care
reqalts,how about italian
request,price range
inform,i dont care
thankyou,thank you good bye
request,whats the address and phone number
request,uh whats the address
bye,good bye
inform,are there any british rest british food
request,where
reqalts,anything else
request,what is the area
request,whats the address
affirm,yes
inform,north american food
reqalts,anything else
thankyou,thank you goodbye
request,and what part of town is it in
request,what is the address noise
request,post code
request,whats the address
request,the address and phone number
inform,im looking for an expensive restaurant that serves european food
bye,okay thank you and good bye
affirm,yes
request,what is the address
inform,spanish
inform,asian
inform,any
thankyou,thank you good bye
inform,i want a moderately priced restaurant in the south part of town
request,what is the phone number
thankyou,okay thank you good bye
null,unintelligible
reqalts,what about thai food
null,unintelligible
request,phone number
null,sil
inform,asian
inform,i need a restaurant in the east part of town serving indian food
thankyou,thank you
inform,french
request,the post code
thankyou,thank you good bye
request,address
request,what is their address and phone number
inform,looking for hungarian food in the north side of town
inform,breath i am looking for a venue that serves gastropub food
affirm,uh yes can i get a cheap restaurant in the west part of town
request,can i get the address
inform,thai food
inform,east
null,unintelligible
inform,mediterranean
inform,cheap
inform,cambridge vietnamese food
null,sil
inform,asian
inform,moderately priced
inform,i dont care
request,what is the price range
request,can i have the phone number and type of food please
inform,im looking for a restaurant in the west part
inform,any
inform,cheap
inform,brazilian
request,address
request,whats the address
reqalts,what about a restaurant that serves chinese food
inform,expensive
request,what is the phone number
inform,i want english food in the center of town
inform,i want vegetarian food
null,noise
request,phone number
affirm,yes
inform,i dont care
request,can i get the phone number
inform,west
inform,i would like to find a cheap restaurant
inform,cheap
thankyou,thank you good bye
null,sil
request,phone number
request,what type of food do they serve
inform,barbecue food
inform,catalonia in the east part of town
null,the addre
reqalts,how about portuguese
thankyou,thank you good bye
request,post code
inform,asian ori
inform,i dont care
request,where are they located
affirm,yes
request,whats the phone number
request,what is the address
null,sil
request,whats their address
inform,any kind of food
request,price range
thankyou,thank you good bye
request,and the telephone number
inform,north part of town
thankyou,thank you good bye
reqalts,what about chinese food
request,whats the address
reqalts,how about chinese food
request,phone number
null,show me the next
inform,dont care
null,care
request,the address
null,okay what was the first one
inform,jamaican
inform,thai food
request,whats the address
inform,west part of town
reqalts,is there anything else
request,whats their address
inform,east
inform,north part of town
reqalts,how about indian food
thankyou,thank you good bye
negate,no thank you
request,the address
inform,looking for a cheap restaurant in the south part of town
request,whats the address and phone number
reqalts,how about chinese food
null,sil
reqalts,how about in any area
inform,south
request,address
thankyou,thank you good bye
request,address
inform,im looking for tuscan food
request,phone number
reqalts,how about a moderately priced restauran
bye,bye
inform,i want i want indian food
reqalts,what about thai
thankyou,thank you goodbye
inform,im looking for an expensive restaurant in the south part of town
reqalts,how about indian food
request,can i have the address
inform,chinese
request,could i have the address please
inform,korean
request,what about the area
request,whats the address
thankyou,thank you goodbye
request,what is the phone number
request,whats the address
thankyou,thank you good bye
inform,any
request,phone number
request,address
affirm,right
inform,i dont care
request,what is the address
inform,chinese food
inform,i want to find a moderately priced restaurant and it should serve asian food
thankyou,thank you goodbye
request,whats the phone number
confirm,do they serve chinese food
request,may i have the address
request,what is the phone numbere
affirm,yes
inform,looking for an expensive restaurant in the south part of town
inform,it doesnt matter
inform,any part
affirm,yes
request,what is the phone number
affirm,yes
inform,moderately priced
request,can i have the address
request,post code
request,can i have the phone number
request,phone number
request,address
inform,looking for mediterranean food uh west side of town
request,can i have the address
inform,doesnt matter
inform,cheap
thankyou,thank you good bye
request,can i get the phone number
bye,bye
inform,a restaurant that serves scandinavian food
request,phone number
